Format Version,1.23,Take Name,cotton_hang_exp_7,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-21 04.41.19.917 下午,Capture Start Frame,563123,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar:Marker1,Bar:Marker1,Bar:Marker1,Bar:Marker2,Bar:Marker2,Bar:Marker2,Bar:Marker3,Bar:Marker3,Bar:Marker3,Bar:Marker4,Bar:Marker4,Bar:Marker4,Bar:Marker1,Bar:Marker1,Bar:Marker1,Bar:Marker2,Bar:Marker2,Bar:Marker2,Bar:Marker3,Bar:Marker3,Bar:Marker3,Bar:Marker4,Bar:Marker4,Bar:Marker4,Unlabeled 1821,Unlabeled 1821,Unlabeled 1821,Unlabeled 1822,Unlabeled 1822,Unlabeled 1822,Unlabeled 1823,Unlabeled 1823,Unlabeled 1823,Unlabeled 1824,Unlabeled 1824,Unlabeled 1824,Unlabeled 1825,Unlabeled 1825,Unlabeled 1825,Unlabeled 1826,Unlabeled 1826,Unlabeled 1826,Unlabeled 1827,Unlabeled 1827,Unlabeled 1827,Unlabeled 1828,Unlabeled 1828,Unlabeled 1828,Unlabeled 1829,Unlabeled 1829,Unlabeled 1829,Unlabeled 1830,Unlabeled 1830,Unlabeled 1830
,ID,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,"C9866149E75E11EE1DBCEA1B09BCCFA4","C9866149E75E11EE1DBCEA1B09BCCFA4","C9866149E75E11EE1DBCEA1B09BCCFA4","C9866148E75E11EE1DBCEA1B09BCCFA4","C9866148E75E11EE1DBCEA1B09BCCFA4","C9866148E75E11EE1DBCEA1B09BCCFA4","C986614AE75E11EE1DBCEA1B09BCCFA4","C986614AE75E11EE1DBCEA1B09BCCFA4","C986614AE75E11EE1DBCEA1B09BCCFA4","C986614BE75E11EE1DBCEA1B09BCCFA4","C986614BE75E11EE1DBCEA1B09BCCFA4","C986614BE75E11EE1DBCEA1B09BCCFA4","5C2D7686EADE75311EE","5C2D7686EADE75311EE","5C2D7686EADE75311EE","5C7D7686EADE75311EE","5C7D7686EADE75311EE","5C7D7686EADE75311EE","5C8D7686EADE75311EE","5C8D7686EADE75311EE","5C8D7686EADE75311EE","5CBD7686EADE75311EE","5CBD7686EADE75311EE","5CBD7686EADE75311EE","5CDD7686EADE75311EE","5CDD7686EADE75311EE","5CDD7686EADE75311EE","5CFD7686EADE75311EE","5CFD7686EADE75311EE","5CFD7686EADE75311EE","5D0D7686EADE75311EE","5D0D7686EADE75311EE","5D0D7686EADE75311EE","5D5D7686EADE75311EE","5D5D7686EADE75311EE","5D5D7686EADE75311EE","5D6D7686EADE75311EE","5D6D7686EADE75311EE","5D6D7686EADE75311EE","5D7D7686EADE75311EE","5D7D7686EADE75311EE","5D7D7686EADE75311EE"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000010,-0.000003,-0.001135,0.999999,-52.254021,69.434326,33.011551,-51.788242,71.723839,68.758507,-51.813965,67.187378,68.915215,-52.701508,67.054390,-2.905709,-52.712379,71.771713,-2.721810,-51.774429,71.728592,68.744263,-51.827274,67.182419,68.912895,-52.691746,67.052223,-2.897686,-52.721924,71.774231,-2.715457,-74.706192,92.428795,51.686245,-73.611343,85.068466,43.256920,-73.897400,107.932899,35.119762,-73.484779,108.485054,50.836880,-75.644211,91.552971,20.350685,-74.216042,97.493675,28.615866,-74.121292,108.408562,18.101542,-75.586823,74.981056,20.102293,-77.397453,75.376862,51.159973,-75.639915,73.813866,34.620598
1,0.008000,0.000009,0.000001,-0.001198,0.999999,-52.254139,69.434616,33.011711,-51.787724,71.724167,68.758652,-51.814026,67.187714,68.915367,-52.702278,67.054642,-2.905527,-52.712547,71.771965,-2.721643,-51.774754,71.728699,68.743965,-51.826435,67.183075,68.912956,-52.692516,67.052597,-2.898134,-52.722168,71.774353,-2.713923,-74.727592,92.413589,51.690628,-73.643532,85.041855,43.251373,-73.911552,107.910240,35.110836,-73.498917,108.464989,50.831806,-75.651459,91.535019,20.352655,-74.236320,97.476448,28.613991,-74.138351,108.383217,18.096664,-75.551514,74.963646,20.112171,-77.426193,75.359230,51.157558,-75.638130,73.790833,34.619446
2,0.016000,0.000002,0.000004,-0.001186,0.999999,-52.254272,69.434631,33.010571,-51.787712,71.724655,68.757477,-51.813900,67.188202,68.914253,-52.702545,67.054176,-2.906630,-52.712936,71.771500,-2.722806,-51.775963,71.729408,68.743416,-51.825226,67.183372,68.911087,-52.692162,67.050529,-2.898793,-52.723194,71.775475,-2.714307,-74.746582,92.399399,51.692360,-73.659523,85.025528,43.252522,-73.924889,107.890831,35.104179,-73.513344,108.446480,50.830471,-75.655655,91.519630,20.354891,-74.255280,97.459831,28.614468,-74.150566,108.362328,18.090973,-75.525215,74.945465,20.115202,-77.457092,75.341644,51.156544,-75.638977,73.769241,34.621204
3,0.025000,-0.000003,-0.000004,-0.001278,0.999999,-52.254707,69.434105,33.011406,-51.788300,71.724411,68.758308,-51.815327,67.187965,68.915131,-52.702839,67.053360,-2.905792,-52.712364,71.770691,-2.722016,-51.775002,71.728691,68.743454,-51.828075,67.183510,68.912865,-52.692200,67.050865,-2.897747,-52.722828,71.773552,-2.714569,-74.766418,92.383354,51.692860,-73.694923,85.003662,43.261833,-73.938461,107.874916,35.096176,-73.529739,108.419205,50.821377,-75.657913,91.504036,20.354025,-74.275658,97.443565,28.609695,-74.165733,108.340813,18.084436,-75.494858,74.929245,20.122330,-77.511139,75.317039,51.153786,-75.637726,73.752373,34.619911
4,0.033000,-0.000005,-0.000002,-0.001451,0.999999,-52.255146,69.434128,33.010883,-51.787788,71.724419,68.757751,-51.816380,67.187988,68.914604,-52.704269,67.053398,-2.906290,-52.712162,71.770729,-2.722538,-51.775425,71.727821,68.743584,-51.828259,67.184380,68.912308,-52.693981,67.051323,-2.898195,-52.722252,71.773170,-2.715474,-74.787346,92.365692,51.695572,-73.712143,84.987556,43.257462,-73.948662,107.858810,35.090698,-73.541824,108.397041,50.817955,-75.657013,91.490730,20.350698,-74.295128,97.430588,28.605656,-74.178665,108.320221,18.076067,-75.458054,74.914680,20.122890,-77.538101,75.304039,51.154613,-75.649513,73.730537,34.620670
5,0.041000,-0.000004,0.000000,-0.001245,0.999999,-52.255142,69.435791,33.010941,-51.788597,71.726242,68.757820,-51.815327,67.189796,68.914665,-52.703411,67.054901,-2.906239,-52.713238,71.772232,-2.722481,-51.776306,71.730354,68.743721,-51.827152,67.185524,68.911789,-52.693359,67.052635,-2.898068,-52.723103,71.774834,-2.715147,-74.805328,92.352966,51.689964,-73.703049,84.979187,43.241478,-73.958855,107.845116,35.083549,-73.551743,108.377876,50.814674,-75.651100,91.476173,20.345379,-74.317726,97.414551,28.599903,-74.194183,108.295692,18.069466,-75.413109,74.900063,20.125599,-77.559746,75.292976,51.152103,-75.660362,73.714844,34.614555
6,0.050000,0.000007,0.000000,-0.001115,0.999999,-52.254494,69.435646,33.011673,-51.788551,71.725372,68.758606,-51.814091,67.188919,68.915344,-52.702133,67.055481,-2.905566,-52.713196,71.772804,-2.721694,-51.775879,71.730728,68.743813,-51.826275,67.183487,68.911575,-52.693115,67.053658,-2.897158,-52.722019,71.774933,-2.714073,-74.818695,92.335983,51.683964,-73.713280,84.952614,43.233105,-73.970100,107.833542,35.071640,-73.557838,108.353790,50.814987,-75.641052,91.457146,20.338255,-74.324814,97.401878,28.597158,-74.204834,108.276161,18.063940,-75.361694,74.883308,20.124504,-77.582344,75.279533,51.147957,-75.679810,73.691048,34.609825
7,0.058000,0.000004,0.000013,-0.001216,0.999999,-52.254410,69.434319,33.011131,-51.787098,71.724213,68.758034,-51.813553,67.187759,68.914810,-52.703445,67.054001,-2.906072,-52.713543,71.771324,-2.722237,-51.774448,71.727753,68.744286,-51.825726,67.183998,68.912880,-52.693321,67.052116,-2.898402,-52.723484,71.773567,-2.715675,-74.828758,92.307465,51.684116,-73.723831,84.926361,43.225834,-73.984528,107.823303,35.062550,-73.565002,108.329453,50.813942,-75.635323,91.438850,20.322947,-74.333504,97.388138,28.591499,-74.224243,108.260368,18.059103,-75.297775,74.869606,20.114487,-77.598663,75.264580,51.142128,-75.691078,73.673912,34.608253
8,0.066000,-0.000006,0.000016,-0.001340,0.999999,-52.253811,69.434029,33.011257,-51.785702,71.724487,68.758133,-51.813286,67.188049,68.914970,-52.703667,67.053131,-2.905905,-52.712597,71.770462,-2.722165,-51.773281,71.728340,68.742813,-51.825150,67.183983,68.913101,-52.692940,67.050323,-2.897365,-52.723122,71.773682,-2.714707,-74.833870,92.280594,51.680492,-73.730568,84.900696,43.216240,-73.992500,107.810440,35.056366,-73.571594,108.306038,50.807636,-75.621666,91.422379,20.313641,-74.365227,97.355080,28.570366,-74.231392,108.245262,18.053099,-75.257324,74.853249,20.111813,-77.613297,75.247917,51.135044,-75.708099,73.655502,34.602509
9,0.075000,-0.000018,-0.000003,-0.001759,0.999998,-52.254475,69.435242,33.010910,-51.785786,71.726166,68.757721,-51.817173,67.189758,68.914688,-52.704983,67.053848,-2.906203,-52.709969,71.771194,-2.722570,-51.774006,71.728416,68.743317,-51.828468,67.187210,68.912979,-52.693588,67.051498,-2.897847,-52.721149,71.773949,-2.715172,-74.834801,92.255196,51.673168,-73.732773,84.873764,43.205269,-73.999359,107.793510,35.050846,-73.575478,108.278511,50.803680,-75.607254,91.395630,20.301174,-74.362228,97.334129,28.559149,-74.236092,108.222702,18.047342,-75.216385,74.820885,20.120018,-77.626160,75.224869,51.124550,-75.722305,73.638634,34.591091
