Format Version,1.23,Take Name,cotton_hang_exp_8,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 04.41.32.515 下午,Capture Start Frame,564635,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar:Marker1,Bar:Marker1,Bar:Marker1,Bar:Marker2,Bar:Marker2,Bar:Marker2,Bar:Marker3,Bar:Marker3,Bar:Marker3,Bar:Marker4,Bar:Marker4,Bar:Marker4,Bar:Marker1,Bar:Marker1,Bar:Marker1,Bar:Marker2,Bar:Marker2,Bar:Marker2,Bar:Marker3,Bar:Marker3,Bar:Marker3,Bar:Marker4,Bar:Marker4,Bar:Marker4,Unlabeled 1835,Unlabeled 1835,Unlabeled 1835,Unlabeled 1836,Unlabeled 1836,Unlabeled 1836,Unlabeled 1837,Unlabeled 1837,Unlabeled 1837,Unlabeled 1838,Unlabeled 1838,Unlabeled 1838,Unlabeled 1839,Unlabeled 1839,Unlabeled 1839,Unlabeled 1840,Unlabeled 1840,Unlabeled 1840,Unlabeled 1841,Unlabeled 1841,Unlabeled 1841,Unlabeled 1842,Unlabeled 1842,Unlabeled 1842,Unlabeled 1843,Unlabeled 1843,Unlabeled 1843,Unlabeled 1844,Unlabeled 1844,Unlabeled 1844
,ID,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,D108E5EFE75E11EE1DBCEA1B09BCCFA4,D108E5EFE75E11EE1DBCEA1B09BCCFA4,D108E5EFE75E11EE1DBCEA1B09BCCFA4,D108E5EEE75E11EE1DBCEA1B09BCCFA4,D108E5EEE75E11EE1DBCEA1B09BCCFA4,D108E5EEE75E11EE1DBCEA1B09BCCFA4,D108E5F0E75E11EE1DBCEA1B09BCCFA4,D108E5F0E75E11EE1DBCEA1B09BCCFA4,D108E5F0E75E11EE1DBCEA1B09BCCFA4,D108E5F1E75E11EE1DBCEA1B09BCCFA4,D108E5F1E75E11EE1DBCEA1B09BCCFA4,D108E5F1E75E11EE1DBCEA1B09BCCFA4,5C2D7686EADE75311EE,5C2D7686EADE75311EE,5C2D7686EADE75311EE,5C7D7686EADE75311EE,5C7D7686EADE75311EE,5C7D7686EADE75311EE,5C8D7686EADE75311EE,5C8D7686EADE75311EE,5C8D7686EADE75311EE,5CBD7686EADE75311EE,5CBD7686EADE75311EE,5CBD7686EADE75311EE,5CDD7686EADE75311EE,5CDD7686EADE75311EE,5CDD7686EADE75311EE,5CFD7686EADE75311EE,5CFD7686EADE75311EE,5CFD7686EADE75311EE,5D0D7686EADE75311EE,5D0D7686EADE75311EE,5D0D7686EADE75311EE,5D9D7686EADE75311EE,5D9D7686EADE75311EE,5D9D7686EADE75311EE,5DAD7686EADE75311EE,5DAD7686EADE75311EE,5DAD7686EADE75311EE,5DCD7686EADE75311EE,5DCD7686EADE75311EE,5DCD7686EADE75311EE
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-0.000174,0.000228,0.001038,1,-52.238773,69.448288,33.019943,-51.766403,71.752983,68.765831,-51.772339,67.216515,68.92421,-52.692539,67.053185,-2.896223,-52.723824,71.770477,-2.71405,-51.768242,71.758095,68.759247,-51.770123,67.209831,68.937614,-52.693497,67.050476,-2.897767,-52.72295,71.773727,-2.71738,-80.097862,80.672897,78.332214,-79.846558,73.53698,70.506088,-78.974548,96.734482,63.482262,-79.531654,96.251846,79.447899,-79.081436,81.02356,46.396137,-78.680817,86.751022,56.261127,-78.289749,97.757225,46.649242,-79.737923,62.734516,61.098503,-81.926277,64.562149,46.055885,-80.789337,63.306393,77.583183
1,0.008,-0.000175,0.000233,0.001343,0.999999,-52.238327,69.447792,33.018703,-51.766998,71.752861,68.764587,-51.770168,67.216393,68.922981,-52.69099,67.052322,-2.89745,-52.725155,71.769608,-2.71529,-51.769917,71.756767,68.757477,-51.766895,67.21138,68.93631,-52.693325,67.050018,-2.899757,-52.722889,71.772484,-2.717801,-80.093018,80.66864,78.325401,-79.853584,73.537018,70.498917,-78.968063,96.739487,63.481647,-79.527344,96.254494,79.444611,-79.065552,81.034142,46.394135,-78.671005,86.75753,56.256508,-78.285461,97.759567,46.644295,-79.746468,62.737358,61.09256,-81.923828,64.565788,46.048443,-80.796333,63.308098,77.575432
2,0.016,-0.000169,0.000234,0.001239,0.999999,-52.238689,69.446648,33.019371,-51.766819,71.751175,68.765282,-51.770931,67.214706,68.923615,-52.691917,67.05172,-2.896819,-52.725105,71.769005,-2.714598,-51.768158,71.754791,68.758736,-51.76936,67.209976,68.936081,-52.693321,67.048248,-2.898246,-52.723808,71.772942,-2.71772,-80.089066,80.66481,78.319862,-79.850021,73.542847,70.495186,-78.964577,96.74202,63.480103,-79.524445,96.251999,79.442467,-79.057709,81.039711,46.390438,-78.675011,86.756577,56.251526,-78.283485,97.761879,46.642815,-79.751244,62.742401,61.088615,-81.917656,64.571144,46.041714,-80.836609,63.285671,77.564598
3,0.025,-0.000166,0.000224,0.001582,0.999999,-52.238964,69.447609,33.019253,-51.769371,71.75222,68.76519,-51.770378,67.215744,68.9235,-52.68985,67.052605,-2.896959,-52.726269,71.769867,-2.714715,-51.771374,71.756416,68.757683,-51.768105,67.210365,68.936462,-52.691505,67.047104,-2.898275,-52.724751,71.775703,-2.71755,-80.085709,80.662895,78.31311,-79.861664,73.542046,70.487236,-78.961792,96.745789,63.478207,-79.522087,96.249336,79.439217,-79.047791,81.042465,46.384495,-78.665169,86.761398,56.252392,-78.277771,97.766945,46.641563,-79.758949,62.746574,61.087776,-81.912926,64.577316,46.033096,-80.853287,63.280075,77.557419
