Format Version,1.23,Take Name,leather_hang_exp_1_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-21 04.36.08.574 下午,Capture Start Frame,525762,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar:Marker1,Bar:Marker1,Bar:Marker1,Bar:Marker2,Bar:Marker2,Bar:Marker2,Bar:Marker3,Bar:Marker3,Bar:Marker3,Bar:Marker4,Bar:Marker4,Bar:Marker4,Bar:Marker1,Bar:Marker1,Bar:Marker1,Bar:Marker2,Bar:Marker2,Bar:Marker2,Bar:Marker3,Bar:Marker3,Bar:Marker3,Bar:Marker4,Bar:Marker4,Bar:Marker4,Unlabeled 1617,Unlabeled 1617,Unlabeled 1617,Unlabeled 1618,Unlabeled 1618,Unlabeled 1618,Unlabeled 1619,Unlabeled 1619,Unlabeled 1619,Unlabeled 1620,Unlabeled 1620,Unlabeled 1620,Unlabeled 1621,Unlabeled 1621,Unlabeled 1621,Unlabeled 1622,Unlabeled 1622,Unlabeled 1622,Unlabeled 1623,Unlabeled 1623,Unlabeled 1623,Unlabeled 1624,Unlabeled 1624,Unlabeled 1624,Unlabeled 1625,Unlabeled 1625,Unlabeled 1625,Unlabeled 1626,Unlabeled 1626,Unlabeled 1626
,ID,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,"FF367FEE75E11EE1DBCEA1B09BCCFA4","FF367FEE75E11EE1DBCEA1B09BCCFA4","FF367FEE75E11EE1DBCEA1B09BCCFA4","FF367FDE75E11EE1DBCEA1B09BCCFA4","FF367FDE75E11EE1DBCEA1B09BCCFA4","FF367FDE75E11EE1DBCEA1B09BCCFA4","FF367FFE75E11EE1DBCEA1B09BCCFA4","FF367FFE75E11EE1DBCEA1B09BCCFA4","FF367FFE75E11EE1DBCEA1B09BCCFA4","FF36800E75E11EE1DBCEA1B09BCCFA4","FF36800E75E11EE1DBCEA1B09BCCFA4","FF36800E75E11EE1DBCEA1B09BCCFA4","4D5D7686EADE75311EE","4D5D7686EADE75311EE","4D5D7686EADE75311EE","4D8D7686EADE75311EE","4D8D7686EADE75311EE","4D8D7686EADE75311EE","4DBD7686EADE75311EE","4DBD7686EADE75311EE","4DBD7686EADE75311EE","4E3D7686EADE75311EE","4E3D7686EADE75311EE","4E3D7686EADE75311EE","4E7D7686EADE75311EE","4E7D7686EADE75311EE","4E7D7686EADE75311EE","4E8D7686EADE75311EE","4E8D7686EADE75311EE","4E8D7686EADE75311EE","4E9D7686EADE75311EE","4E9D7686EADE75311EE","4E9D7686EADE75311EE","4EED7686EADE75311EE","4EED7686EADE75311EE","4EED7686EADE75311EE","4F0D7686EADE75311EE","4F0D7686EADE75311EE","4F0D7686EADE75311EE","4F3D7686EADE75311EE","4F3D7686EADE75311EE","4F3D7686EADE75311EE"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000004,0.000028,-0.000290,1.000000,-52.248234,69.430840,33.005440,-51.784100,71.722176,68.752304,-51.802147,67.185684,68.909142,-52.693932,67.049103,-2.911720,-52.712761,71.766403,-2.727956,-51.773441,71.732170,68.736786,-51.812889,67.175690,68.897682,-52.687347,67.048004,-2.899890,-52.719055,71.767654,-2.718217,-65.101013,97.995865,37.179272,-59.772526,97.760208,53.501541,-70.994034,99.646637,22.432610,-59.720493,80.940315,51.851578,-63.832962,88.620506,42.567429,-59.982777,64.587311,51.809525,-70.081131,82.979073,21.888990,-68.116745,78.021538,31.201822,-65.470795,65.836296,35.647385,-70.894646,66.242508,20.736961
1,0.008000,-0.000005,0.000020,-0.000330,1.000000,-52.248711,69.430748,33.006042,-51.784908,71.722092,68.752899,-51.803326,67.185600,68.909752,-52.694084,67.049011,-2.911118,-52.712536,71.766319,-2.727365,-51.774864,71.732269,68.738197,-51.813580,67.175377,68.897072,-52.687286,67.046021,-2.898690,-52.719002,71.769402,-2.717104,-65.103363,97.991539,37.173672,-59.771221,97.756157,53.498447,-70.993828,99.643356,22.428680,-59.742199,80.934288,51.859127,-63.837791,88.615761,42.564125,-60.032074,64.586433,51.824558,-70.091164,82.976219,21.886875,-68.132607,78.016167,31.205061,-65.492226,65.833984,35.656975,-70.909355,66.236404,20.741219
2,0.016000,-0.000006,0.000017,-0.000551,1.000000,-52.249176,69.430901,33.006439,-51.784592,71.722107,68.753296,-51.805012,67.185631,68.910149,-52.695362,67.049286,-2.910718,-52.711739,71.766594,-2.726978,-51.773060,71.730789,68.739037,-51.816582,67.176949,68.899666,-52.687866,67.047356,-2.899975,-52.718979,71.768631,-2.717337,-65.101746,97.986946,37.170105,-59.778206,97.747375,53.491135,-70.996025,99.639336,22.428782,-59.759243,80.931938,51.866104,-63.843727,88.611832,42.563477,-60.070705,64.582916,51.834888,-70.103851,82.973007,21.885767,-68.150101,78.008690,31.207651,-65.514275,65.828346,35.664474,-70.923866,66.235756,20.741030
3,0.025000,-0.000018,0.000018,-0.000497,1.000000,-52.249561,69.431175,33.006325,-51.785172,71.723328,68.753120,-51.805107,67.186852,68.910095,-52.695549,67.048607,-2.910769,-52.712429,71.765923,-2.727142,-51.774185,71.732941,68.737556,-51.816021,67.177345,68.900169,-52.688152,67.046387,-2.899894,-52.719574,71.768295,-2.716956,-65.100685,97.983284,37.166065,-59.775818,97.743225,53.485699,-70.998718,99.633881,22.425947,-59.780197,80.921463,51.876907,-63.847996,88.609238,42.563251,-60.110092,64.573868,51.847374,-70.114204,82.969284,21.885916,-68.171005,78.003860,31.214317,-65.542969,65.825996,35.673901,-70.941910,66.233376,20.745029
4,0.033000,-0.000021,0.000019,-0.000388,1.000000,-52.248215,69.431175,33.006073,-51.784260,71.723579,68.752861,-51.803207,67.187096,68.909859,-52.693741,67.048355,-2.911019,-52.711655,71.765671,-2.727410,-51.774651,71.733131,68.737846,-51.812893,67.177536,68.898857,-52.687252,67.046021,-2.899063,-52.717834,71.768158,-2.717805,-65.100037,97.979568,37.163551,-59.776913,97.741112,53.482372,-71.003914,99.630905,22.425730,-59.802914,80.917435,51.882217,-63.853542,88.605377,42.562340,-60.136761,64.568100,51.856834,-70.126221,82.964775,21.885370,-68.189438,77.998123,31.220297,-65.569595,65.823349,35.681671,-70.956604,66.232452,20.745106
5,0.041000,-0.000014,0.000025,-0.000359,1.000000,-52.248104,69.431648,33.005909,-51.783848,71.723579,68.752731,-51.802528,67.187103,68.909653,-52.693932,67.049316,-2.911207,-52.712112,71.766624,-2.727538,-51.773960,71.731804,68.737411,-51.812466,67.178871,68.898842,-52.687580,67.048897,-2.899575,-52.718182,71.767204,-2.717955,-65.099045,97.977539,37.158852,-59.774399,97.738808,53.477306,-71.007751,99.629578,22.423264,-59.846710,80.904266,51.891644,-63.860237,88.603821,42.564548,-60.173141,64.558578,51.868568,-70.140083,82.960091,21.888021,-68.208237,77.994583,31.223377,-65.599754,65.817642,35.690231,-70.974701,66.230705,20.746834
