Format Version,1.23,Take Name,leather_hang_exp_4,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 04.36.21.599 下午,Capture Start Frame,527325,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar:Marker1,Bar:Marker1,Bar:Marker1,Bar:Marker2,Bar:Marker2,Bar:Marker2,Bar:Marker3,Bar:Marker3,Bar:Marker3,Bar:Marker4,Bar:Marker4,Bar:Marker4,Bar:Marker1,Bar:Marker1,Bar:Marker1,Bar:Marker2,Bar:Marker2,Bar:Marker2,Bar:Marker3,Bar:Marker3,Bar:Marker3,Bar:Marker4,Bar:Marker4,Bar:Marker4,Unlabeled 1631,Unlabeled 1631,Unlabeled 1631,Unlabeled 1632,Unlabeled 1632,Unlabeled 1632,Unlabeled 1633,Unlabeled 1633,Unlabeled 1633,Unlabeled 1634,Unlabeled 1634,Unlabeled 1634,Unlabeled 1635,Unlabeled 1635,Unlabeled 1635,Unlabeled 1636,Unlabeled 1636,Unlabeled 1636,Unlabeled 1637,Unlabeled 1637,Unlabeled 1637,Unlabeled 1638,Unlabeled 1638,Unlabeled 1638,Unlabeled 1639,Unlabeled 1639,Unlabeled 1639,Unlabeled 1640,Unlabeled 1640,Unlabeled 1640
,ID,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,17B6E0C7E75E11EE1DBCEA1B09BCCFA4,17B6E0C7E75E11EE1DBCEA1B09BCCFA4,17B6E0C7E75E11EE1DBCEA1B09BCCFA4,17B6E0C6E75E11EE1DBCEA1B09BCCFA4,17B6E0C6E75E11EE1DBCEA1B09BCCFA4,17B6E0C6E75E11EE1DBCEA1B09BCCFA4,17B6E0C8E75E11EE1DBCEA1B09BCCFA4,17B6E0C8E75E11EE1DBCEA1B09BCCFA4,17B6E0C8E75E11EE1DBCEA1B09BCCFA4,17B6E0C9E75E11EE1DBCEA1B09BCCFA4,17B6E0C9E75E11EE1DBCEA1B09BCCFA4,17B6E0C9E75E11EE1DBCEA1B09BCCFA4,4D5D7686EADE75311EE,4D5D7686EADE75311EE,4D5D7686EADE75311EE,4D8D7686EADE75311EE,4D8D7686EADE75311EE,4D8D7686EADE75311EE,4DBD7686EADE75311EE,4DBD7686EADE75311EE,4DBD7686EADE75311EE,4E3D7686EADE75311EE,4E3D7686EADE75311EE,4E3D7686EADE75311EE,4E7D7686EADE75311EE,4E7D7686EADE75311EE,4E7D7686EADE75311EE,4E9D7686EADE75311EE,4E9D7686EADE75311EE,4E9D7686EADE75311EE,4EED7686EADE75311EE,4EED7686EADE75311EE,4EED7686EADE75311EE,4F8D7686EADE75311EE,4F8D7686EADE75311EE,4F8D7686EADE75311EE,4FAD7686EADE75311EE,4FAD7686EADE75311EE,4FAD7686EADE75311EE,4FBD7686EADE75311EE,4FBD7686EADE75311EE,4FBD7686EADE75311EE
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-0.000007,0.000002,-0.00091,1,-52.251232,69.435989,33.009212,-51.786102,71.726936,68.756088,-51.809788,67.190475,68.912949,-52.698021,67.054619,-2.907956,-52.711018,71.771942,-2.724221,-51.775505,71.731476,68.743088,-51.820152,67.185745,68.908722,-52.687645,67.049622,-2.898018,-52.721069,71.777237,-2.716947,-64.456879,107.96125,30.236181,-64.429787,108.442047,47.541008,-65.562042,108.220421,14.439283,-65.035728,91.403305,47.322483,-64.346001,98.687317,36.248699,-64.470482,91.593849,14.453077,-66.08168,87.224182,24.791977,-71.829185,76.467308,14.24742,-70.064888,75.924721,47.448883,-71.015349,77.484207,30.592295
1,0.008,-0.000014,0.000004,-0.000918,1,-52.251316,69.435295,33.008183,-51.785969,71.726715,68.75502,-51.809723,67.190254,68.911949,-52.698334,67.053444,-2.908951,-52.71125,71.770767,-2.725282,-51.77523,71.730827,68.74192,-51.820202,67.185936,68.907913,-52.687073,67.048729,-2.898996,-52.722202,71.775803,-2.71778,-64.524475,107.896278,30.227894,-64.514061,108.408318,47.527958,-65.656311,108.134819,14.433325,-64.911095,91.361984,47.340115,-64.377548,98.666801,36.249557,-64.381615,91.536621,14.451553,-65.872231,87.132576,24.807539,-71.60463,76.205315,14.283031,-69.731834,75.765831,47.515251,-70.790794,77.222214,30.593153
2,0.016,-0.000022,0.00001,-0.001245,0.999999,-52.253181,69.436356,33.006912,-51.785912,71.728065,68.7537,-51.81263,67.191628,68.910706,-52.702175,67.054192,-2.91017,-52.712006,71.77153,-2.726579,-51.77602,71.731056,68.741364,-51.822399,67.188461,68.906326,-52.690254,67.048439,-2.900622,-52.723713,71.77758,-2.717949,-64.595779,107.819199,30.210463,-64.591209,108.373749,47.518124,-65.775581,108.028839,14.421185,-64.780563,91.340294,47.362328,-64.434013,98.631378,36.258301,-64.322174,91.466042,14.474209,-65.664963,87.049896,24.820717,-71.344292,75.900505,14.35997,-69.346794,75.59079,47.53619,-70.530456,76.917404,30.601897
3,0.025,-0.000019,-0.000003,-0.001279,0.999999,-52.253067,69.435303,33.008255,-51.786621,71.726776,68.755081,-51.813656,67.190331,68.912056,-52.701241,67.053391,-2.908868,-52.710758,71.770729,-2.725246,-51.775986,71.730743,68.742401,-51.824085,67.186127,68.908005,-52.688251,67.04705,-2.898116,-52.723377,71.777382,-2.717869,-64.659058,107.728722,30.191799,-64.677658,108.336555,47.510368,-65.868042,107.930733,14.400576,-64.693848,91.311249,47.374161,-64.511513,98.577209,36.266422,-64.287659,91.379395,14.500867,-65.450546,86.971275,24.863014,-70.966461,75.558884,14.473836,-68.908478,75.404144,47.608852,-70.152625,76.575783,30.610018
