,Frame,Time (Seconds),X,Y,Z,W,X.1,Y.1,Z.1,X.2,Y.2,Z.2,X.3,Y.3,Z.3,X.4,Y.4,Z.4,X.5,Y.5,Z.5,X.6,Y.6,Z.6,X.7,Y.7,Z.7,X.8,Y.8,Z.8,X.9,Y.9,Z.9,X.10,Y.10,Z.10,X.11,Y.11,Z.11,X.12,Y.12,Z.12,X.13,Y.13,Z.13,X.14,Y.14,Z.14,X.15,Y.15,Z.15,X.16,Y.16,Z.16,X.17,Y.17,Z.17,X.18,Y.18,Z.18,X.19,Y.19,Z.19,X.20,Y.20,Z.20
0,0,0.0,0.000102,5.3e-05,0.000443,1.0,-52.25523,69.437752,33.003105,-51.792622,71.722122,68.750427,-51.804016,67.185577,68.906296,-52.69928,67.063042,-2.914536,-52.72501,71.780273,-2.729771,-51.777969,71.735939,68.740768,-51.815266,67.174866,68.907455,-52.688896,67.082603,-2.912142,-52.73521,71.761169,-2.725065,-65.49633,108.127342,37.79583,-60.281448,74.574303,52.424496,-58.479004,90.906792,51.841343,-71.5084,92.874565,23.14621,-63.916725,98.589912,43.039612,-58.531116,108.022865,53.78352,-69.447723,88.045235,32.403973,-66.967041,75.815926,36.883251,-73.086578,76.113297,22.436949,-72.485962,109.532394,23.524368,,,
1,1,0.008,9.5e-05,5.2e-05,0.000441,1.0,-52.255596,69.438789,33.002472,-51.793079,71.723679,68.749763,-51.804501,67.187134,68.905701,-52.699547,67.06356,-2.915138,-52.725262,71.780792,-2.730438,-51.778336,71.735901,68.741158,-51.816296,67.177299,68.906166,-52.688854,67.082199,-2.912976,-52.736137,71.761879,-2.725374,-65.488472,108.136299,37.785534,-60.337479,74.568932,52.427887,-58.490097,90.901085,51.840145,-71.520493,92.88485,23.133488,-63.906704,98.590836,43.024548,-58.521038,108.017113,53.775532,-69.468781,88.05114,32.39513,-67.004906,75.822678,36.876842,-73.115921,76.12368,22.432022,-72.47731,109.545395,23.513374,,,
2,2,0.016,9.8e-05,5.7e-05,0.000316,1.0,-52.255611,69.43792,33.002903,-51.792145,71.722511,68.750206,-51.804688,67.185966,68.906113,-52.700542,67.062988,-2.914712,-52.725082,71.780228,-2.729985,-51.777603,71.735321,68.741508,-51.816334,67.175613,68.906479,-52.688938,67.084068,-2.91145,-52.735657,71.761124,-2.725808,-65.483086,108.145164,37.775192,-60.384296,74.56485,52.427769,-58.500397,90.893219,51.835896,-71.531311,92.893623,23.122284,-63.89761,98.591278,43.009262,-58.509399,108.0084,53.766602,-69.480034,88.059593,32.383369,-67.0336,75.832901,36.867058,-73.140839,76.129318,22.425169,-72.472282,109.554909,23.503798,,,
3,3,0.025,0.000109,6.1e-05,0.000347,1.0,-52.255386,69.438866,33.002872,-51.791809,71.722694,68.750229,-51.804077,67.18615,68.906036,-52.700417,67.064697,-2.914792,-52.725243,71.781929,-2.729967,-51.777618,71.736618,68.741043,-51.815479,67.174873,68.906281,-52.689762,67.084755,-2.911963,-52.735722,71.762222,-2.724804,-65.476547,108.152786,37.766163,-60.431862,74.557945,52.434826,-58.513908,90.88179,51.831722,-71.54203,92.901199,23.109297,-63.883705,98.590889,42.993805,-58.500969,107.999405,53.754913,-69.4963,88.06105,32.374565,-67.06279,75.839127,36.859138,-73.173592,76.127167,22.417406,-72.468338,109.561852,23.494568,,,
4,4,0.033,0.000106,5.9e-05,0.000415,1.0,-52.255714,69.438187,33.002552,-51.792599,71.722282,68.749886,-51.804245,67.185738,68.905731,-52.700275,67.063751,-2.915105,-52.725746,71.780983,-2.730304,-51.77747,71.735527,68.741165,-51.816517,67.174934,68.905769,-52.688961,67.083183,-2.912562,-52.737129,71.761444,-2.72499,-65.472466,108.158203,37.759571,-60.47406,74.559547,52.443115,-58.523041,90.870758,51.831257,-71.550797,92.906204,23.099989,-63.871456,98.587151,42.979141,-58.492928,107.986679,53.748955,-69.504128,88.066223,32.362648,-67.08136,75.84623,36.850578,-73.197014,76.133186,22.40731,-72.466499,109.569099,23.488342,,,
5,5,0.041,0.000102,4.7e-05,0.000557,1.0,-52.25473,69.438988,33.002625,-51.793087,71.723495,68.749954,-51.803444,67.186943,68.90583,-52.697788,67.064148,-2.915025,-52.724606,71.781372,-2.730262,-51.779778,71.736755,68.74128,-51.814438,67.176003,68.905487,-52.687634,67.082726,-2.912822,-52.735485,71.761421,-2.723933,-65.468071,108.160934,37.755859,-60.511368,74.556152,52.448093,-58.535015,90.860954,51.825893,-71.557961,92.909843,23.09157,-63.862949,98.582481,42.967213,-58.484089,107.977036,53.739166,-69.509438,88.06601,32.35046,-67.098534,75.847977,36.843784,-73.219009,76.139786,22.396822,-72.466896,109.57254,23.48123,,,
6,6,0.05,0.000104,5.6e-05,0.000437,1.0,-52.254425,69.438316,33.002716,-51.791561,71.722572,68.750046,-51.803005,67.186028,68.905914,-52.69873,67.063713,-2.914935,-52.724415,71.780952,-2.730149,-51.776649,71.736847,68.741951,-51.814819,67.17469,68.906342,-52.688152,67.083183,-2.913162,-52.735394,71.760765,-2.725149,-65.468536,108.15976,37.749283,-60.545135,74.549034,52.454926,-58.542313,90.849396,51.824474,-71.564796,92.911064,23.080297,-63.854893,98.577873,42.956154,-58.476959,107.961563,53.732323,-69.515152,88.064445,32.338634,-67.114037,75.858238,36.830395,-73.241524,76.145157,22.383429,-72.467194,109.575165,23.475235,,,
7,7,0.058,0.000104,5.8e-05,0.000557,1.0,-52.253723,69.438782,33.002865,-51.791275,71.723183,68.750191,-51.801636,67.186638,68.906059,-52.697586,67.064056,-2.91478,-52.724403,71.781281,-2.730003,-51.777588,71.736336,68.74221,-51.812916,67.175781,68.90593,-52.687092,67.082794,-2.912894,-52.73558,71.761261,-2.724252,-65.467979,108.159134,37.745033,-60.579216,74.537605,52.46154,-58.548157,90.841606,51.822735,-71.57296,92.909393,23.073832,-63.849579,98.574272,42.946049,-58.47364,107.949936,53.724037,-69.515778,88.062531,32.328041,-67.124847,75.858681,36.826458,-73.259529,76.149246,22.369486,-72.471817,109.571815,23.474342,,,
8,8,0.066,0.0001,6.1e-05,0.00038,1.0,-52.2542,69.437912,33.002605,-51.790707,71.722412,68.749908,-51.80267,67.185867,68.905815,-52.699142,67.063072,-2.915022,-52.724285,71.780312,-2.730274,-51.777695,71.736038,68.741188,-51.813358,67.174683,68.905624,-52.689499,67.081947,-2.912577,-52.734261,71.760788,-2.724483,-65.467384,108.157158,37.739853,-60.61731,74.525925,52.467068,-58.555023,90.832306,51.817013,-71.581062,92.908951,23.065796,-63.84729,98.569496,42.939793,-58.470703,107.940849,53.718208,-69.517563,88.057938,32.32259,-67.131378,75.856812,36.824261,-73.276672,76.149559,22.355438,-72.478584,109.570572,23.470467,,,
9,9,0.075,8.4e-05,5.5e-05,0.000202,1.0,-52.254772,69.438972,33.001743,-51.790905,71.724464,68.74897,-51.804489,67.187927,68.905022,-52.700119,67.063126,-2.915812,-52.723576,71.78038,-2.73121,-51.778137,71.736664,68.741615,-51.816326,67.176674,68.902954,-52.688606,67.082993,-2.912308,-52.73502,71.760529,-2.725178,-65.469528,108.153152,37.734325,-60.645061,74.519325,52.468483,-58.562267,90.821533,51.814217,-71.588577,92.905243,23.060389,-63.84774,98.56353,42.935238,-58.464031,107.930313,53.711349,-69.517319,88.050774,32.313084,-67.13932,75.840744,36.822872,-73.282181,76.155342,22.323689,-72.488029,109.564972,23.46957,,,
