Format Version,1.23,Take Name,silk_hang_exp_6,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 04.26.09.270 下午,Capture Start Frame,453845,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar:Marker1,Bar:Marker1,Bar:Marker1,Bar:Marker2,Bar:Marker2,Bar:Marker2,Bar:Marker3,Bar:Marker3,Bar:Marker3,Bar:Marker4,Bar:Marker4,Bar:Marker4,Bar:Marker1,Bar:Marker1,Bar:Marker1,Bar:Marker2,Bar:Marker2,Bar:Marker2,Bar:Marker3,Bar:Marker3,Bar:Marker3,Bar:Marker4,Bar:Marker4,Bar:Marker4,Unlabeled 1353,Unlabeled 1353,Unlabeled 1353,Unlabeled 1354,Unlabeled 1354,Unlabeled 1354,Unlabeled 1355,Unlabeled 1355,Unlabeled 1355,Unlabeled 1356,Unlabeled 1356,Unlabeled 1356,Unlabeled 1357,Unlabeled 1357,Unlabeled 1357,Unlabeled 1358,Unlabeled 1358,Unlabeled 1358,Unlabeled 1359,Unlabeled 1359,Unlabeled 1359,Unlabeled 1360,Unlabeled 1360,Unlabeled 1360,Unlabeled 1361,Unlabeled 1361,Unlabeled 1361,Unlabeled 1362,Unlabeled 1362,Unlabeled 1362
,ID,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,8415147AE75311EE1DBCEA1B09BCCFA4,AABCE083E75C11EE1DBCEA1B09BCCFA4,AABCE083E75C11EE1DBCEA1B09BCCFA4,AABCE083E75C11EE1DBCEA1B09BCCFA4,AABCE082E75C11EE1DBCEA1B09BCCFA4,AABCE082E75C11EE1DBCEA1B09BCCFA4,AABCE082E75C11EE1DBCEA1B09BCCFA4,AABCE084E75C11EE1DBCEA1B09BCCFA4,AABCE084E75C11EE1DBCEA1B09BCCFA4,AABCE084E75C11EE1DBCEA1B09BCCFA4,AABCE085E75C11EE1DBCEA1B09BCCFA4,AABCE085E75C11EE1DBCEA1B09BCCFA4,AABCE085E75C11EE1DBCEA1B09BCCFA4,2F1D7686EADE75311EE,2F1D7686EADE75311EE,2F1D7686EADE75311EE,31DD7686EADE75311EE,31DD7686EADE75311EE,31DD7686EADE75311EE,362D7686EADE75311EE,362D7686EADE75311EE,362D7686EADE75311EE,37FD7686EADE75311EE,37FD7686EADE75311EE,37FD7686EADE75311EE,381D7686EADE75311EE,381D7686EADE75311EE,381D7686EADE75311EE,38BD7686EADE75311EE,38BD7686EADE75311EE,38BD7686EADE75311EE,38DD7686EADE75311EE,38DD7686EADE75311EE,38DD7686EADE75311EE,393D7686EADE75311EE,393D7686EADE75311EE,393D7686EADE75311EE,394D7686EADE75311EE,394D7686EADE75311EE,394D7686EADE75311EE,396D7686EADE75311EE,396D7686EADE75311EE,396D7686EADE75311EE
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.000098,0.000024,-0.000793,1,-52.253162,69.439262,33.004803,-51.786964,71.722809,68.752136,-51.809586,67.186302,68.908051,-52.701008,67.065338,-2.912843,-52.715099,71.782616,-2.728119,-51.776741,71.733841,68.741081,-51.818771,67.176666,68.905441,-52.691948,67.082603,-2.911608,-52.726971,71.759476,-2.71342,-74.777618,90.615677,22.285442,-63.461708,90.108665,51.790829,-68.62616,105.813156,37.140553,-74.166618,106.449173,21.919069,-63.302696,105.62439,52.020271,-68.101326,80.067566,41.138908,-72.64814,96.181961,28.742813,-64.778313,74.2519,51.003311,-75.386818,74.976776,21.787376,-70.273827,73.1838,36.363964
1,0.008,0.000093,0.000034,-0.000897,1,-52.252747,69.439987,33.004326,-51.785408,71.723785,68.751625,-51.808971,67.187294,68.907585,-52.701752,67.065796,-2.91329,-52.714855,71.783081,-2.728614,-51.776295,71.733017,68.74144,-51.817928,67.178551,68.903656,-52.692204,67.083534,-2.911289,-52.727108,71.75975,-2.713385,-74.783478,90.615753,22.29402,-63.471283,90.10878,51.796524,-68.625443,105.812538,37.1422,-74.168877,106.448425,21.924206,-63.301193,105.624435,52.021461,-68.110756,80.067909,41.146915,-72.656487,96.180077,28.748507,-64.721405,74.26725,50.999409,-75.421982,74.974426,21.797792,-70.269501,73.181549,36.362041
2,0.016,0.000094,0.00003,-0.000786,1,-52.253006,69.440392,33.004303,-51.786411,71.724228,68.751602,-51.808964,67.187721,68.907555,-52.70126,67.066177,-2.913317,-52.715405,71.783463,-2.728629,-51.777832,71.734573,68.74057,-51.817356,67.178009,68.902847,-52.692127,67.083847,-2.911319,-52.727211,71.75988,-2.711311,-74.788895,90.612305,22.303925,-63.482452,90.108231,51.801735,-68.627014,105.80864,37.145218,-74.1689,106.447731,21.924616,-63.299526,105.625168,52.023781,-68.122269,80.072296,41.158096,-72.6651,96.178764,28.751501,-64.695686,74.269569,50.990223,-75.457695,74.971855,21.811075,-70.260925,73.185196,36.35508
3,0.025,0.000097,0.000035,-0.000678,1,-52.252769,69.440231,33.00433,-51.786362,71.723953,68.75164,-51.807934,67.187454,68.907562,-52.700813,67.066124,-2.913302,-52.715981,71.783409,-2.728587,-51.777058,71.735596,68.741402,-51.816261,67.177437,68.904388,-52.692039,67.08313,-2.912991,-52.727913,71.759628,-2.712352,-74.790314,90.608963,22.316717,-63.492687,90.110336,51.809193,-68.626358,105.805496,37.146,-74.168129,106.444931,21.928385,-63.296104,105.62677,52.025009,-68.131378,80.071709,41.169418,-72.671036,96.179619,28.755192,-64.685829,74.262711,50.982719,-75.500153,74.965546,21.831305,-70.256653,73.186462,36.356609
