Format Version,1.23,Take Name,silk_table_exp_7,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 02.51.05.603 下午,Capture Start Frame,73360,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Table,Table,Table,Table,Table,Table,Table,Table:Marker1,Table:Marker1,Table:Marker1,Table:Marker2,Table:Marker2,Table:Marker2,Table:Marker3,Table:Marker3,Table:Marker3,Table:Marker4,Table:Marker4,Table:Marker4,Table:Marker1,Table:Marker1,Table:Marker1,Table:Marker2,Table:Marker2,Table:Marker2,Table:Marker3,Table:Marker3,Table:Marker3,Table:Marker4,Table:Marker4,Table:Marker4,Unlabeled 1264,Unlabeled 1264,Unlabeled 1264,Unlabeled 1265,Unlabeled 1265,Unlabeled 1265,Unlabeled 1266,Unlabeled 1266,Unlabeled 1266,Unlabeled 1267,Unlabeled 1267,Unlabeled 1267,Unlabeled 1268,Unlabeled 1268,Unlabeled 1268,Unlabeled 1269,Unlabeled 1269,Unlabeled 1269,Unlabeled 1270,Unlabeled 1270,Unlabeled 1270,Unlabeled 1271,Unlabeled 1271,Unlabeled 1271,Unlabeled 1272,Unlabeled 1272,Unlabeled 1272,Unlabeled 1273,Unlabeled 1273,Unlabeled 1273
,ID,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,50D0559EE74E11EE1DBCEA1B09BCCFA4,631689E2E74F11EE1DBCEA1B09BCCFA4,631689E2E74F11EE1DBCEA1B09BCCFA4,631689E2E74F11EE1DBCEA1B09BCCFA4,631689E3E74F11EE1DBCEA1B09BCCFA4,631689E3E74F11EE1DBCEA1B09BCCFA4,631689E3E74F11EE1DBCEA1B09BCCFA4,631689E4E74F11EE1DBCEA1B09BCCFA4,631689E4E74F11EE1DBCEA1B09BCCFA4,631689E4E74F11EE1DBCEA1B09BCCFA4,631689E5E74F11EE1DBCEA1B09BCCFA4,631689E5E74F11EE1DBCEA1B09BCCFA4,631689E5E74F11EE1DBCEA1B09BCCFA4,63F198A1C5E74D11EE,63F198A1C5E74D11EE,63F198A1C5E74D11EE,69F198A1C5E74D11EE,69F198A1C5E74D11EE,69F198A1C5E74D11EE,98F198A1C5E74D11EE,98F198A1C5E74D11EE,98F198A1C5E74D11EE,A0F198A1C5E74D11EE,A0F198A1C5E74D11EE,A0F198A1C5E74D11EE,A4F198A1C5E74D11EE,A4F198A1C5E74D11EE,A4F198A1C5E74D11EE,A7F198A1C5E74D11EE,A7F198A1C5E74D11EE,A7F198A1C5E74D11EE,A8F198A1C5E74D11EE,A8F198A1C5E74D11EE,A8F198A1C5E74D11EE,A9F198A1C5E74D11EE,A9F198A1C5E74D11EE,A9F198A1C5E74D11EE,AAF198A1C5E74D11EE,AAF198A1C5E74D11EE,AAF198A1C5E74D11EE,ABF198A1C5E74D11EE,ABF198A1C5E74D11EE,ABF198A1C5E74D11EE
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.000127,0.00081,-0.00008,1,-31.027927,28.73188,41.866562,-59.455215,28.874105,80.710289,-2.156168,28.988815,80.373405,-2.604502,28.626207,3.164738,-59.895725,28.438393,3.217903,-59.485806,28.863775,80.731544,-2.139985,28.996479,80.363701,-2.586233,28.618204,3.165688,-59.907318,28.446388,3.21063,-65.598419,89.133347,76.82431,-61.227997,88.991478,11.585373,-65.875511,132.03595,78.266975,-61.818768,71.821632,56.565594,-63.602936,45.74736,10.282845,-61.634899,130.015793,10.186446,-62.141685,107.899872,36.40715,-63.026165,127.145645,44.00872,-64.940659,47.486191,75.274017,-61.455555,43.153233,43.360893
1,0.008,0.000131,0.000818,-0.000086,1,-31.023422,28.731054,41.869442,-59.450089,28.873333,80.713631,-2.151042,28.98735,80.375824,-2.600613,28.625324,3.167164,-59.891846,28.438208,3.221238,-59.487427,28.861893,80.731361,-2.129377,28.994509,80.375275,-2.586611,28.61824,3.165523,-59.90876,28.447672,3.209306,-65.603531,89.141769,76.838493,-61.22496,89.006828,11.600985,-65.879326,132.046753,78.274208,-61.823105,71.816605,56.613029,-63.598179,45.769073,10.29994,-61.65234,130.017395,10.199222,-62.138577,107.935867,36.423901,-63.045437,127.170334,44.009499,-64.983315,47.496529,75.286736,-61.388161,43.179485,43.378765
2,0.016,0.000133,0.000807,-0.000089,1,-31.028961,28.731718,41.869366,-59.45649,28.874075,80.712936,-2.157423,28.98773,80.376396,-2.605298,28.625912,3.167704,-59.896534,28.439156,3.22052,-59.485649,28.86301,80.731331,-2.138807,28.996119,80.365547,-2.590788,28.616882,3.174551,-59.907108,28.447739,3.21085,-65.611588,89.147964,76.86013,-61.224972,89.024368,11.621856,-65.884308,132.056183,78.282997,-61.804993,71.825394,56.633724,-63.611866,45.790165,10.326474,-61.689579,130.023544,10.217001,-62.13588,107.955185,36.437038,-63.067265,127.192688,44.012108,-65.030922,47.503323,75.302689,-61.346352,43.196877,43.409153
3,0.025,0.000154,0.000845,-0.000101,1,-31.021595,28.730545,41.867561,-59.446178,28.871914,80.71328,-2.147144,28.984278,80.372414,-2.600863,28.625721,3.163755,-59.892094,28.440264,3.220892,-59.485291,28.862461,80.729889,-2.122942,28.990496,80.368896,-2.587029,28.61968,3.165281,-59.90818,28.447947,3.209691,-65.643539,89.153992,76.885429,-61.222668,89.0355,11.634504,-65.887466,132.067581,78.286377,-61.762653,71.841988,56.653118,-63.61879,45.787128,10.363121,-61.704487,130.034332,10.228253,-62.140049,107.974007,36.447926,-63.094322,127.212227,44.014046,-65.098869,47.504951,75.316132,-61.295395,43.224258,43.436741
