Format Version,1.23,Take Name,textured_table_exp_7,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-21 01.56.46.722 下午,Capture Start Frame,42532,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Table,Table,Table,Table,Table,Table,Table,Table:Marker1,Table:Marker1,Table:Marker1,Table:Marker2,Table:Marker2,Table:Marker2,Table:Marker3,Table:Marker3,Table:Marker3,Table:Marker4,Table:Marker4,Table:Marker4,Table:Marker1,Table:Marker1,Table:Marker1,Table:Marker2,Table:Marker2,Table:Marker2,Table:Marker3,Table:Marker3,Table:Marker3,Table:Marker4,Table:Marker4,Table:Marker4,Unlabeled 1233,Unlabeled 1233,Unlabeled 1233,Unlabeled 1234,Unlabeled 1234,Unlabeled 1234,Unlabeled 1235,Unlabeled 1235,Unlabeled 1235,Unlabeled 1236,Unlabeled 1236,Unlabeled 1236,Unlabeled 1237,Unlabeled 1237,Unlabeled 1237,Unlabeled 1238,Unlabeled 1238,Unlabeled 1238,Unlabeled 1239,Unlabeled 1239,Unlabeled 1239,Unlabeled 1240,Unlabeled 1240,Unlabeled 1240,Unlabeled 1241,Unlabeled 1241,Unlabeled 1241,Unlabeled 1242,Unlabeled 1242,Unlabeled 1242
,ID,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,"CCA43B96E74711EE1DBCEA1B09BCCFA4","CCA43B96E74711EE1DBCEA1B09BCCFA4","CCA43B96E74711EE1DBCEA1B09BCCFA4","CCA43B98E74711EE1DBCEA1B09BCCFA4","CCA43B98E74711EE1DBCEA1B09BCCFA4","CCA43B98E74711EE1DBCEA1B09BCCFA4","CCA43B97E74711EE1DBCEA1B09BCCFA4","CCA43B97E74711EE1DBCEA1B09BCCFA4","CCA43B97E74711EE1DBCEA1B09BCCFA4","CCA43B99E74711EE1DBCEA1B09BCCFA4","CCA43B99E74711EE1DBCEA1B09BCCFA4","CCA43B99E74711EE1DBCEA1B09BCCFA4","CF426B106E74611EE","CF426B106E74611EE","CF426B106E74611EE","2CF426B106E74611EE","2CF426B106E74611EE","2CF426B106E74611EE","31F426B106E74611EE","31F426B106E74611EE","31F426B106E74611EE","33F426B106E74611EE","33F426B106E74611EE","33F426B106E74611EE","34F426B106E74611EE","34F426B106E74611EE","34F426B106E74611EE","36F426B106E74611EE","36F426B106E74611EE","36F426B106E74611EE","38F426B106E74611EE","38F426B106E74611EE","38F426B106E74611EE","39F426B106E74611EE","39F426B106E74611EE","39F426B106E74611EE","3AF426B106E74611EE","3AF426B106E74611EE","3AF426B106E74611EE","3BF426B106E74611EE","3BF426B106E74611EE","3BF426B106E74611EE"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000175,0.000543,-0.000197,1.000000,-31.646570,28.972307,40.918819,-59.751629,30.366486,1.612422,-2.189070,28.335413,2.812231,-3.680205,27.580097,79.957970,-60.965382,29.607237,79.292763,-59.701122,30.366283,1.647710,-2.250805,28.335222,2.846575,-3.659874,27.580950,79.941467,-60.979206,29.606651,79.259262,-70.994293,64.337791,74.545311,-77.132942,45.171997,55.080223,-94.498146,22.429243,13.547918,-96.008827,64.083015,13.874949,-94.397461,105.020546,12.502460,-83.888016,82.874695,33.327488,-68.939552,104.785873,73.054436,-81.481377,103.294327,42.739998,-83.114021,22.373529,44.426899,-76.371773,21.924263,76.346916
1,0.008000,-0.000167,0.000529,-0.000209,1.000000,-31.645021,28.973507,40.917351,-59.748913,30.368969,1.610169,-2.186441,28.336546,2.811593,-3.679818,27.580027,79.957275,-60.964920,29.608500,79.290459,-59.694393,30.370525,1.641970,-2.252076,28.334505,2.846301,-3.661051,27.582211,79.940353,-60.977818,29.606571,79.261673,-70.979149,64.338608,74.548737,-77.119156,45.173595,55.075134,-94.558052,22.427660,13.574073,-96.008980,64.088203,13.874165,-94.379364,105.024948,12.500912,-83.867630,82.871712,33.321774,-68.908569,104.780159,73.055107,-81.460365,103.295135,42.733841,-83.122620,22.370348,44.439262,-76.297821,21.908014,76.340363
2,0.016000,-0.000172,0.000507,-0.000216,1.000000,-31.644651,28.973808,40.916054,-59.746803,30.369282,1.607639,-2.184418,28.336042,2.811593,-3.681168,27.580315,79.957214,-60.966217,29.609606,79.287872,-59.693176,30.369898,1.638532,-2.251127,28.335011,2.847069,-3.661735,27.581818,79.940681,-60.979183,29.608341,79.258453,-70.967827,64.340088,74.548340,-77.103836,45.173409,55.069859,-94.609924,22.418913,13.606503,-96.004990,64.088402,13.877532,-94.344208,105.032799,12.491662,-83.845261,82.868584,33.317871,-68.882660,104.774651,73.044876,-81.435081,103.295029,42.729572,-83.134315,22.367167,44.448280,-76.204193,21.893841,76.321228
3,0.025000,-0.000178,0.000524,-0.000246,1.000000,-31.645006,28.971458,40.912727,-59.748440,30.368101,1.605257,-2.186134,28.331411,2.807250,-3.680253,27.576796,79.952934,-60.965199,29.609528,79.285561,-59.690250,30.371273,1.638645,-2.242866,28.328430,2.830141,-3.660815,27.580088,79.940849,-60.979073,29.606369,79.255112,-70.934334,64.339050,74.530334,-77.085358,45.171772,55.063213,-94.661568,22.421595,13.638015,-96.001450,64.091667,13.879688,-94.319153,105.034149,12.484954,-83.823326,82.867149,33.306988,-68.849854,104.765610,73.049240,-81.402290,103.293480,42.717827,-83.147934,22.367779,44.455849,-76.104317,21.873482,76.308151
4,0.033000,-0.000197,0.000546,-0.000272,1.000000,-31.645834,28.972832,40.911285,-59.750950,30.369434,1.605013,-2.188697,28.329775,2.804518,-3.679410,27.578207,79.950294,-60.964279,29.613914,79.285408,-59.690048,30.373436,1.639189,-2.241048,28.326485,2.822932,-3.659864,27.582016,79.939880,-60.979366,29.610077,79.254494,-70.900879,64.347908,74.510025,-77.070740,45.175842,55.056168,-94.700027,22.426928,13.656327,-95.998375,64.099724,13.879773,-94.299332,105.035950,12.477169,-83.804199,82.863625,33.300137,-68.820427,104.763748,73.038956,-81.354858,103.292938,42.712730,-83.158615,22.368618,44.462837,-76.026894,21.863123,76.295853
5,0.041000,-0.000199,0.000538,-0.000284,1.000000,-31.645441,28.973093,40.910824,-59.749855,30.370213,1.604074,-2.187669,28.329220,2.804556,-3.679714,27.577957,79.950317,-60.964523,29.614990,79.284439,-59.688843,30.374676,1.634931,-2.240840,28.325615,2.822458,-3.661428,27.582073,79.941109,-60.977489,29.610861,79.255852,-70.857666,64.364014,74.496117,-77.060081,45.176338,55.049290,-94.744286,22.440273,13.672829,-95.996666,64.106247,13.879996,-94.284378,105.045471,12.472755,-83.781784,82.867325,33.287476,-68.794426,104.767456,73.028648,-81.305923,103.303764,42.699848,-83.172211,22.371693,44.463070,-75.968048,21.860241,76.284966
