Format Version,1.23,Take Name,textured_table_exp_8,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-21 01.58.46.352 下午,Capture Start Frame,56888,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Table,Table,Table,Table,Table,Table,Table,Table:Marker1,Table:Marker1,Table:Marker1,Table:Marker2,Table:Marker2,Table:Marker2,Table:Marker3,Table:Marker3,Table:Marker3,Table:Marker4,Table:Marker4,Table:Marker4,Table:Marker1,Table:Marker1,Table:Marker1,Table:Marker2,Table:Marker2,Table:Marker2,Table:Marker3,Table:Marker3,Table:Marker3,Table:Marker4,Table:Marker4,Table:Marker4,Unlabeled 1303,Unlabeled 1303,Unlabeled 1303,Unlabeled 1304,Unlabeled 1304,Unlabeled 1304,Unlabeled 1305,Unlabeled 1305,Unlabeled 1305,Unlabeled 1306,Unlabeled 1306,Unlabeled 1306,Unlabeled 1307,Unlabeled 1307,Unlabeled 1307,Unlabeled 1308,Unlabeled 1308,Unlabeled 1308,Unlabeled 1309,Unlabeled 1309,Unlabeled 1309,Unlabeled 1310,Unlabeled 1310,Unlabeled 1310,Unlabeled 1311,Unlabeled 1311,Unlabeled 1311,Unlabeled 1312,Unlabeled 1312,Unlabeled 1312
,ID,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,73FC4CEBE74411EE1DBCEA1B09BCCFA4,13F2A6ACE74811EE1DBCEA1B09BCCFA4,13F2A6ACE74811EE1DBCEA1B09BCCFA4,13F2A6ACE74811EE1DBCEA1B09BCCFA4,13F2A6AEE74811EE1DBCEA1B09BCCFA4,13F2A6AEE74811EE1DBCEA1B09BCCFA4,13F2A6AEE74811EE1DBCEA1B09BCCFA4,13F2A6ADE74811EE1DBCEA1B09BCCFA4,13F2A6ADE74811EE1DBCEA1B09BCCFA4,13F2A6ADE74811EE1DBCEA1B09BCCFA4,13F2A6AFE74811EE1DBCEA1B09BCCFA4,13F2A6AFE74811EE1DBCEA1B09BCCFA4,13F2A6AFE74811EE1DBCEA1B09BCCFA4,CF426B106E74611EE,CF426B106E74611EE,CF426B106E74611EE,2CF426B106E74611EE,2CF426B106E74611EE,2CF426B106E74611EE,33F426B106E74611EE,33F426B106E74611EE,33F426B106E74611EE,3CF426B106E74611EE,3CF426B106E74611EE,3CF426B106E74611EE,4BF426B106E74611EE,4BF426B106E74611EE,4BF426B106E74611EE,53F426B106E74611EE,53F426B106E74611EE,53F426B106E74611EE,54F426B106E74611EE,54F426B106E74611EE,54F426B106E74611EE,56F426B106E74611EE,56F426B106E74611EE,56F426B106E74611EE,57F426B106E74611EE,57F426B106E74611EE,57F426B106E74611EE,58F426B106E74611EE,58F426B106E74611EE,58F426B106E74611EE
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.000331,0.000345,0.000541,1,-31.70701,28.931438,40.965607,-59.79855,30.323914,1.649499,-2.23355,28.376591,2.870077,-3.754056,27.541002,80.014404,-61.041885,29.484257,79.328545,-59.739407,30.348814,1.67,-2.249584,28.347069,2.850972,-3.658175,27.586409,79.939514,-61.172859,29.452314,79.38076,-77.116669,63.635921,76.066162,-77.546791,44.108189,55.991501,-77.661385,62.873005,10.579992,-70.078239,103.44474,75.415703,-71.141251,81.179352,33.070694,-70.152855,103.157845,10.168594,-70.615166,101.797363,42.552429,-87.360855,21.948429,76.233101,-80.261604,21.254604,11.210887,-81.232699,24.635387,43.815223
1,0.008,0.000343,0.000324,0.000529,1,-31.709042,28.931087,40.966312,-59.798897,30.32519,1.649061,-2.233991,28.376432,2.872011,-3.757766,27.539032,80.016258,-61.045517,29.4837,79.328026,-59.740578,30.349482,1.670111,-2.249741,28.346189,2.850875,-3.65804,27.585537,79.939186,-61.174816,29.45286,79.379189,-76.943817,63.796051,76.060432,-77.421295,44.294079,55.95509,-77.51783,63.056374,10.562675,-69.813583,103.613243,75.415527,-70.908669,81.370964,33.044281,-69.918747,103.318047,10.158768,-70.373123,101.980659,42.558376,-87.313408,22.124298,76.217751,-80.275581,21.459263,11.16818,-81.185252,24.811256,43.799751
2,0.016,0.00036,0.000308,0.000521,1,-31.710514,28.932323,40.969364,-59.799076,30.328232,1.651242,-2.234235,28.378517,2.875998,-3.760526,27.538475,80.020164,-61.048229,29.484081,79.330147,-59.740997,30.352989,1.673117,-2.24964,28.34593,2.852318,-3.659258,27.588072,79.939804,-61.174767,29.453014,79.380852,-76.761803,63.964973,76.053741,-77.307648,44.489815,55.924118,-77.381279,63.257771,10.558932,-69.553452,103.76284,75.405396,-70.709839,81.532562,33.02079,-69.672729,103.490364,10.160771,-70.127998,102.155998,42.542904,-87.27243,22.34409,76.189201,-80.274162,21.671936,11.152289,-81.144274,25.031048,43.804191
3,0.025,0.000318,0.000371,0.000513,1,-31.706268,28.932184,40.96299,-59.799801,30.325169,1.648316,-2.23484,28.374689,2.865925,-3.75134,27.541239,80.010368,-61.039089,29.487648,79.327446,-59.740829,30.35182,1.668355,-2.249967,28.345467,2.849174,-3.659756,27.585918,79.940529,-61.175167,29.452663,79.380775,-76.557915,64.163307,76.024376,-77.182938,44.695862,55.897797,-77.226616,63.456524,10.55874,-69.252663,103.964592,75.409111,-70.518143,81.69268,33.009235,-69.402534,103.703247,10.178728,-69.842667,102.327728,42.547344,-87.243935,22.572569,76.160362,-80.276894,21.922979,11.119397,-81.115779,25.259527,43.812023
