Format Version,1.23,Take Name,Take 2024-03-18 04.54.53 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-18 04.54.53.752 下午,Capture Start Frame,45415,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Table,Table,Table,Table,Table,Table,Table,Table:Marker1,Table:Marker1,Table:Marker1,Table:Marker2,Table:Marker2,Table:Marker2,Table:Marker3,Table:Marker3,Table:Marker3,Table:Marker4,Table:Marker4,Table:Marker4,Leather_BigCloth:Marker1,Leather_BigCloth:Marker1,Leather_BigCloth:Marker1,Leather_BigCloth:Marker10,Leather_BigCloth:Marker10,Leather_BigCloth:Marker10,Leather_BigCloth:Marker2,Leather_BigCloth:Marker2,Leather_BigCloth:Marker2,Leather_BigCloth:Marker3,Leather_BigCloth:Marker3,Leather_BigCloth:Marker3,Leather_BigCloth:Marker4,Leather_BigCloth:Marker4,Leather_BigCloth:Marker4,Leather_BigCloth:Marker5,Leather_BigCloth:Marker5,Leather_BigCloth:Marker5,Leather_BigCloth:Marker6,Leather_BigCloth:Marker6,Leather_BigCloth:Marker6,Leather_BigCloth:Marker7,Leather_BigCloth:Marker7,Leather_BigCloth:Marker7,Leather_BigCloth:Marker8,Leather_BigCloth:Marker8,Leather_BigCloth:Marker8,Leather_BigCloth:Marker9,Leather_BigCloth:Marker9,Leather_BigCloth:Marker9,Table:Marker1,Table:Marker1,Table:Marker1,Table:Marker2,Table:Marker2,Table:Marker2,Table:Marker3,Table:Marker3,Table:Marker3,Table:Marker4,Table:Marker4,Table:Marker4
,ID,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,"10A112421AAE50411EE","10A112421AAE50411EE","10A112421AAE50411EE","121112421AAE50411EE","121112421AAE50411EE","121112421AAE50411EE","110112421AAE50411EE","110112421AAE50411EE","110112421AAE50411EE","119112421AAE50411EE","119112421AAE50411EE","119112421AAE50411EE","11A112421AAE50411EE","11A112421AAE50411EE","11A112421AAE50411EE","11C112421AAE50411EE","11C112421AAE50411EE","11C112421AAE50411EE","11D112421AAE50411EE","11D112421AAE50411EE","11D112421AAE50411EE","11E112421AAE50411EE","11E112421AAE50411EE","11E112421AAE50411EE","11F112421AAE50411EE","11F112421AAE50411EE","11F112421AAE50411EE","120112421AAE50411EE","120112421AAE50411EE","120112421AAE50411EE","2F5ECEEAE50511EE1DBCEA1B09BCCFA4","2F5ECEEAE50511EE1DBCEA1B09BCCFA4","2F5ECEEAE50511EE1DBCEA1B09BCCFA4","2F5ECEEBE50511EE1DBCEA1B09BCCFA4","2F5ECEEBE50511EE1DBCEA1B09BCCFA4","2F5ECEEBE50511EE1DBCEA1B09BCCFA4","2F5ECEECE50511EE1DBCEA1B09BCCFA4","2F5ECEECE50511EE1DBCEA1B09BCCFA4","2F5ECEECE50511EE1DBCEA1B09BCCFA4","2F5ECEEDE50511EE1DBCEA1B09BCCFA4","2F5ECEEDE50511EE1DBCEA1B09BCCFA4","2F5ECEEDE50511EE1DBCEA1B09BCCFA4"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000552,-0.000225,-0.000398,1.000000,-29.311401,28.980389,40.472439,-58.214069,28.839243,78.994278,-57.770855,28.075054,1.410076,-1.032355,29.850695,79.494881,-0.228325,29.156567,1.990521,-63.432087,73.349220,5.876314,-56.779385,31.834429,71.066734,-65.585678,31.559759,5.391752,-61.466019,112.672333,38.862152,-63.376152,114.869797,4.081528,-61.244453,31.498438,38.515465,-62.604504,115.252281,71.731201,-60.894829,73.739868,70.925331,-62.810345,97.483376,28.091278,-62.147873,51.339329,48.072441,-58.223648,28.834438,78.973610,-57.724972,28.083414,1.459389,-1.030028,29.856449,79.525749,-0.253362,29.150497,1.948597
1,0.008000,0.000539,-0.000218,-0.000399,1.000000,-29.313713,28.978878,40.467785,-58.215843,28.838736,78.990028,-57.773720,28.072599,1.405841,-1.034123,29.850124,79.489807,-0.231177,29.154047,1.985452,-63.460266,73.351646,5.896142,-56.871826,31.822088,71.069351,-65.525566,31.557638,5.403600,-61.451893,112.681984,38.863171,-63.373177,114.870132,4.080551,-61.277939,31.503540,38.509296,-62.612553,115.258957,71.735588,-60.909470,73.748642,70.921661,-62.819374,97.493568,28.094753,-62.211437,51.351269,48.073086,-58.226425,28.833622,78.970657,-57.724442,28.082382,1.457235,-1.029377,29.857067,79.522491,-0.254185,29.148024,1.948449
2,0.016000,0.000521,-0.000190,-0.000410,1.000000,-29.313847,28.977581,40.464516,-58.213818,28.839497,78.988388,-57.776058,28.070534,1.404205,-1.032045,29.849602,79.484924,-0.233465,29.150692,1.980546,-63.489269,73.352356,5.918507,-56.979542,31.804243,71.076111,-65.451416,31.552229,5.419578,-61.452854,112.703339,38.865227,-63.370628,114.870453,4.080230,-61.316650,31.508728,38.505005,-62.623207,115.268013,71.738586,-60.929310,73.755005,70.912964,-62.831776,97.503639,28.094912,-62.282211,51.365788,48.073978,-58.223129,28.834639,78.968689,-57.723171,28.080944,1.457919,-1.026023,29.857164,79.521469,-0.255476,29.145330,1.948867
3,0.025000,0.000532,-0.000203,-0.000378,1.000000,-29.312346,28.977880,40.466843,-58.213268,28.837086,78.989990,-57.773518,28.069883,1.405799,-1.031578,29.850834,79.487976,-0.231013,29.153711,1.983607,-63.519001,73.352997,5.940875,-57.108707,31.790621,71.090523,-65.381760,31.547234,5.441036,-61.463123,112.740150,38.869621,-63.371872,114.871643,4.077725,-61.360867,31.508499,38.505863,-62.637871,115.278099,71.746758,-60.952263,73.759422,70.896408,-62.851078,97.514435,28.098223,-62.340675,51.375759,48.076313,-58.224201,28.832012,78.970367,-57.722843,28.079758,1.459192,-1.026729,29.857740,79.520721,-0.254033,29.147751,1.946361
4,0.033000,0.000545,-0.000203,-0.000412,1.000000,-29.313295,28.978140,40.467224,-58.214260,28.838312,78.990349,-57.774509,28.073076,1.406133,-1.032495,29.848177,79.488396,-0.231922,29.152988,1.984012,-63.556725,73.349724,5.960237,-57.225777,31.791084,71.113991,-65.313408,31.546501,5.457092,-61.472702,112.779297,38.868301,-63.372917,114.874016,4.079617,-61.392582,31.519264,38.507877,-62.647121,115.292648,71.749702,-60.974323,73.762535,70.880424,-62.869896,97.524590,28.101332,-62.374687,51.400303,48.078201,-58.224804,28.832451,78.971695,-57.725269,28.084347,1.456289,-1.027235,29.856321,79.520844,-0.254451,29.146233,1.948727
5,0.041000,0.000537,-0.000202,-0.000394,1.000000,-29.312960,28.977686,40.467514,-58.213818,28.837418,78.990707,-57.774239,28.070980,1.406515,-1.032090,29.849360,79.488602,-0.231692,29.152983,1.984221,-63.580894,73.348839,5.983394,-57.340656,31.781826,71.137062,-65.242149,31.555050,5.473293,-61.497002,112.811539,38.870457,-63.370598,114.876343,4.078613,-61.428486,31.526360,38.515446,-62.656265,115.306030,71.752235,-60.989029,73.770103,70.860489,-62.899036,97.532532,28.100248,-62.409920,51.412117,48.082916,-58.223949,28.832331,78.972488,-57.722343,28.081116,1.457960,-1.028054,29.856318,79.518776,-0.254632,29.147100,1.950023
