Format Version,1.23,Take Name,Take 2024-03-18 04.07.48 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-18 04.07.48.799 下午,Capture Start Frame,251515,Total Frames in Take,601,Total Exported Frames,601,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Bar,Bar,Bar,Bar,Bar,Bar,Bar,Bar:Marker1,Bar:Marker1,Bar:Marker1,Bar:Marker2,Bar:Marker2,Bar:Marker2,Bar:Marker3,Bar:Marker3,Bar:Marker3,Bar:Marker4,Bar:Marker4,Bar:Marker4,Bar:Marker1,Bar:Marker1,Bar:Marker1,Bar:Marker2,Bar:Marker2,Bar:Marker2,Bar:Marker3,Bar:Marker3,Bar:Marker3,Bar:Marker4,Bar:Marker4,Bar:Marker4,Silk_Cloth:Marker1,Silk_Cloth:Marker1,Silk_Cloth:Marker1,Silk_Cloth:Marker10,Silk_Cloth:Marker10,Silk_Cloth:Marker10,Silk_Cloth:Marker2,Silk_Cloth:Marker2,Silk_Cloth:Marker2,Silk_Cloth:Marker3,Silk_Cloth:Marker3,Silk_Cloth:Marker3,Silk_Cloth:Marker4,Silk_Cloth:Marker4,Silk_Cloth:Marker4,Silk_Cloth:Marker5,Silk_Cloth:Marker5,Silk_Cloth:Marker5,Silk_Cloth:Marker6,Silk_Cloth:Marker6,Silk_Cloth:Marker6,Silk_Cloth:Marker7,Silk_Cloth:Marker7,Silk_Cloth:Marker7,Silk_Cloth:Marker8,Silk_Cloth:Marker8,Silk_Cloth:Marker8,Silk_Cloth:Marker9,Silk_Cloth:Marker9,Silk_Cloth:Marker9
,ID,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,4E8F3C44E4FC11EE20BCEA1B09BCCEA4,"9B912EE4E4FE11EE20BCEA1B09BCCEA4","9B912EE4E4FE11EE20BCEA1B09BCCEA4","9B912EE4E4FE11EE20BCEA1B09BCCEA4","9B912EE5E4FE11EE20BCEA1B09BCCEA4","9B912EE5E4FE11EE20BCEA1B09BCCEA4","9B912EE5E4FE11EE20BCEA1B09BCCEA4","9B912EE6E4FE11EE20BCEA1B09BCCEA4","9B912EE6E4FE11EE20BCEA1B09BCCEA4","9B912EE6E4FE11EE20BCEA1B09BCCEA4","9B912EE7E4FE11EE20BCEA1B09BCCEA4","9B912EE7E4FE11EE20BCEA1B09BCCEA4","9B912EE7E4FE11EE20BCEA1B09BCCEA4","184B4CDE365E4F911EE","184B4CDE365E4F911EE","184B4CDE365E4F911EE","19AB4CDE365E4F911EE","19AB4CDE365E4F911EE","19AB4CDE365E4F911EE","18BB4CDE365E4F911EE","18BB4CDE365E4F911EE","18BB4CDE365E4F911EE","192B4CDE365E4F911EE","192B4CDE365E4F911EE","192B4CDE365E4F911EE","194B4CDE365E4F911EE","194B4CDE365E4F911EE","194B4CDE365E4F911EE","195B4CDE365E4F911EE","195B4CDE365E4F911EE","195B4CDE365E4F911EE","196B4CDE365E4F911EE","196B4CDE365E4F911EE","196B4CDE365E4F911EE","197B4CDE365E4F911EE","197B4CDE365E4F911EE","197B4CDE365E4F911EE","198B4CDE365E4F911EE","198B4CDE365E4F911EE","198B4CDE365E4F911EE","199B4CDE365E4F911EE","199B4CDE365E4F911EE","199B4CDE365E4F911EE"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000156,-0.000524,-0.001539,0.999999,-52.664185,69.623772,32.680180,-52.377373,67.383171,68.209305,-52.578735,71.951378,68.318916,-52.698349,71.849495,-2.748287,-53.002262,67.311035,-3.059211,-52.502174,67.307831,68.348366,-52.536942,71.975418,68.299812,-52.736561,71.841072,-2.744350,-52.963562,67.320724,-3.092914,-65.542046,101.478371,17.576880,-66.377464,84.856071,18.742119,-65.486336,101.053116,33.562344,-66.284599,86.623848,49.211304,-66.918831,70.551109,49.168571,-66.230103,89.597961,36.387085,-65.085670,103.013992,49.507713,-67.218719,68.236794,34.414322,-66.688354,77.369270,30.186787,-66.500893,69.817673,18.540562
1,0.008000,0.000143,-0.000527,-0.001546,0.999999,-52.662895,69.622864,32.679207,-52.376324,67.383125,68.208397,-52.577621,71.951340,68.317879,-52.696823,71.847733,-2.749315,-53.000797,67.309265,-3.060132,-52.503197,67.308716,68.347809,-52.536289,71.974365,68.297897,-52.736752,71.839523,-2.744785,-52.960732,67.318718,-3.093044,-65.539322,101.486122,17.579062,-66.397812,84.858788,18.736273,-65.485458,101.055359,33.563774,-66.273911,86.621429,49.208241,-66.908447,70.545845,49.162086,-66.232147,89.601234,36.384182,-65.090942,103.014389,49.513336,-67.253914,68.238930,34.404789,-66.712288,77.377365,30.181343,-66.540588,69.819527,18.539398
2,0.016000,0.000151,-0.000513,-0.001446,0.999999,-52.662361,69.623169,32.678650,-52.374344,67.382957,68.207787,-52.576561,71.951126,68.317352,-52.697723,71.848557,-2.749846,-53.000797,67.310036,-3.060716,-52.503239,67.309174,68.347992,-52.535786,71.973274,68.296822,-52.737385,71.841301,-2.744348,-52.961685,67.318390,-3.092683,-65.534431,101.498177,17.592007,-66.432312,84.859734,18.737362,-65.487991,101.056198,33.562855,-66.261322,86.615021,49.200684,-66.892342,70.545921,49.148357,-66.246979,89.598320,36.381889,-65.098228,103.012253,49.512287,-67.288521,68.239037,34.397827,-66.766235,77.372070,30.168024,-66.582748,69.820335,18.536047
3,0.025000,0.000159,-0.000514,-0.001482,0.999999,-52.662380,69.622200,32.677605,-52.374588,67.381416,68.206718,-52.576469,71.949608,68.316353,-52.697521,71.848145,-2.750856,-53.000919,67.309647,-3.061804,-52.504467,67.306015,68.348259,-52.535648,71.972115,68.295845,-52.736897,71.840820,-2.745428,-52.961868,67.318115,-3.093939,-65.531929,101.513199,17.599081,-66.464447,84.865463,18.738894,-65.490646,101.058327,33.563347,-66.251801,86.608505,49.193298,-66.874565,70.547943,49.124626,-66.249397,89.602127,36.379128,-65.104355,103.005745,49.515903,-67.324287,68.239418,34.385830,-66.792366,77.384949,30.156097,-66.633621,69.822868,18.530880
4,0.033000,0.000156,-0.000539,-0.001560,0.999999,-52.663467,69.622406,32.678699,-52.377846,67.381775,68.207840,-52.579021,71.949997,68.317436,-52.696453,71.848145,-2.749768,-53.000538,67.309700,-3.060710,-52.504147,67.307266,68.348259,-52.537399,71.973335,68.297829,-52.735161,71.841148,-2.745642,-52.961624,67.317917,-3.093877,-65.529022,101.524940,17.602961,-66.487251,84.878075,18.733166,-65.492920,101.057098,33.566139,-66.240318,86.603546,49.184902,-66.857162,70.544830,49.102226,-66.256348,89.604340,36.375202,-65.111359,103.001762,49.514397,-67.356384,68.239563,34.373768,-66.811638,77.396141,30.149382,-66.667328,69.832191,18.520832
5,0.041000,0.000154,-0.000542,-0.001646,0.999999,-52.664799,69.623421,32.678688,-52.379753,67.382874,68.207840,-52.580143,71.951118,68.317429,-52.697205,71.849052,-2.749795,-53.002071,67.310654,-3.060716,-52.506386,67.306831,68.347717,-52.538216,71.975075,68.298790,-52.735554,71.842400,-2.746758,-52.963425,67.318535,-3.093563,-65.527435,101.533104,17.603502,-66.506393,84.886017,18.724569,-65.494041,101.061653,33.566177,-66.230133,86.597733,49.178875,-66.820518,70.547958,49.083027,-66.257843,89.608719,36.367920,-65.120377,102.995773,49.512852,-67.377213,68.246773,34.357857,-66.834206,77.403969,30.141613,-66.691895,69.845215,18.507917
