Format Version,1.23,Take Name,Take 2024-01-20 08.32.14 AM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-01-20 08.32.15.649 上午,Capture Start Frame,3565,Total Frames in Take,69,Total Exported Frames,69,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Table,Table,Table,Table,Table,Table,Table,Table:Marker1,Table:Marker1,Table:Marker1,Table:Marker2,Table:Marker2,Table:Marker2,Table:Marker3,Table:Marker3,Table:Marker3,Table:Marker4,Table:Marker4,Table:Marker4,Table:Marker1,Table:Marker1,Table:Marker1,Table:Marker2,Table:Marker2,Table:Marker2,Table:Marker3,Table:Marker3,Table:Marker3,Table:Marker4,Table:Marker4,Table:Marker4
,ID,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,2527D76CB72A11EE20BCEA1B09BCBCA4,5900F32EB72B11EE20BCEA1B09BCBDA4,5900F32EB72B11EE20BCEA1B09BCBDA4,5900F32EB72B11EE20BCEA1B09BCBDA4,5900F32DB72B11EE20BCEA1B09BCBDA4,5900F32DB72B11EE20BCEA1B09BCBDA4,5900F32DB72B11EE20BCEA1B09BCBDA4,5900F32FB72B11EE20BCEA1B09BCBDA4,5900F32FB72B11EE20BCEA1B09BCBDA4,5900F32FB72B11EE20BCEA1B09BCBDA4,5900F32BB72B11EE20BCEA1B09BCBDA4,5900F32BB72B11EE20BCEA1B09BCBDA4,5900F32BB72B11EE20BCEA1B09BCBDA4
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.000034,0.000018,-0.000014,1,-32.599197,75.6903,26.750629,-71.415154,75.942108,-0.603187,-69.604561,75.679962,56.229626,6.284627,75.281525,53.492134,4.338396,75.857613,-2.116057,-71.409332,75.941643,-0.597865,-69.605141,75.680389,56.22403,6.285762,75.281105,53.492908,4.332186,75.858047,-2.116226
1,0.008,0.000022,0.000015,0.000002,1,-32.597603,75.689743,26.750343,-71.413437,75.939598,-0.603664,-69.603111,75.678925,56.229164,6.286108,75.282913,53.492046,4.340121,75.857552,-2.11617,-71.407593,75.93792,-0.606148,-69.601334,75.680542,56.230247,6.286012,75.281219,53.493073,4.332199,75.85936,-2.115814
2,0.016,0.000042,0.000018,-0.000009,1,-32.599648,75.69062,26.751045,-71.415634,75.942459,-0.602725,-69.60498,75.679443,56.230087,6.284216,75.281822,53.4925,4.33791,75.858757,-2.115685,-71.41011,75.942276,-0.597934,-69.604942,75.679626,56.224804,6.284795,75.28167,53.492683,4.331947,75.858925,-2.115168
3,0.025,0.000011,0.000013,0.000016,1,-32.597694,75.689911,26.749525,-71.413422,75.938164,-0.604644,-69.60331,75.678749,56.228203,6.285927,75.284668,53.49139,4.340136,75.85807,-2.116847,-71.406464,75.936249,-0.607892,-69.601021,75.68058,56.230457,6.284643,75.282791,53.492142,4.332,75.860085,-2.116718
4,0.033,0.000001,0.000007,0.000011,1,-32.59827,75.689545,26.749357,-71.413681,75.937599,-0.605264,-69.604233,75.679367,56.227612,6.285036,75.284492,53.491676,4.339895,75.856743,-2.116597,-71.406189,75.935944,-0.60864,-69.602631,75.680923,56.230247,6.284066,75.282921,53.491951,4.331881,75.858414,-2.116288
5,0.041,0.000036,0.000034,-0.000011,1,-32.598625,75.690651,26.752403,-71.415466,75.942268,-0.60015,-69.603027,75.679985,56.232609,6.286078,75.282066,53.492641,4.338026,75.858284,-2.115482,-71.409904,75.940956,-0.599132,-69.601883,75.681236,56.231201,6.285272,75.28083,53.492523,4.332419,75.859543,-2.114941
6,0.05,0.00003,0.000015,-0.000013,1,-32.599701,75.690422,26.750929,-71.415535,75.94194,-0.603068,-69.605202,75.680275,56.229759,6.284001,75.281937,53.492619,4.33802,75.857552,-2.115586,-71.409424,75.941505,-0.597651,-69.606224,75.680687,56.224739,6.284638,75.281548,53.492069,4.332644,75.857941,-2.115101
7,0.058,0.000027,0.000013,0.000007,1,-32.597057,75.688293,26.749622,-71.412781,75.938057,-0.604552,-69.602692,75.676773,56.228291,6.286544,75.281555,53.491478,4.340783,75.856789,-2.116731,-71.407524,75.937485,-0.608535,-69.598999,75.677315,56.229927,6.285706,75.280998,53.492344,4.332779,75.857368,-2.115374
8,0.066,0.000029,0.000035,-0.000014,1,-32.598351,75.690117,26.752296,-71.415268,75.941666,-0.600162,-69.602676,75.68013,56.232597,6.286416,75.281593,53.492439,4.338229,75.857071,-2.115691,-71.408966,75.94146,-0.598057,-69.601303,75.680298,56.230839,6.284495,75.281433,53.492348,4.332919,75.857254,-2.115839
9,0.075,0.000044,0.000016,0.000019,1,-32.59708,75.688591,26.749987,-71.412971,75.938385,-0.603938,-69.602524,75.675209,56.228874,6.286702,75.281837,53.491592,4.340583,75.858917,-2.116591,-71.407196,75.9375,-0.608009,-69.599304,75.676033,56.231213,6.285387,75.281021,53.491337,4.33326,75.859787,-2.114782
10,0.083,0.000053,0.000031,-0.000003,1,-32.59819,75.689789,26.751305,-71.414886,75.941795,-0.601465,-69.60276,75.677505,56.231297,6.286368,75.280853,53.491749,4.338622,75.859032,-2.116367,-71.41011,75.941902,-0.597877,-69.599678,75.677368,56.226509,6.284576,75.280991,53.491203,4.333101,75.858894,-2.114725
11,0.091,0.000027,0.000015,0.00001,1,-32.597832,75.689095,26.750034,-71.413681,75.938629,-0.603956,-69.603317,75.677406,56.228874,6.285897,75.282593,53.491711,4.339874,75.857758,-2.116495,-71.407387,75.937584,-0.606411,-69.600555,75.678406,56.229855,6.284776,75.281578,53.491829,4.331901,75.858849,-2.115202
12,0.1,0.000039,0.000037,-0.000015,1,-32.598431,75.690193,26.75242,-71.415459,75.942337,-0.599876,-69.602646,75.679596,56.232868,6.286442,75.28109,53.492401,4.338029,75.85775,-2.115709,-71.409813,75.94149,-0.597444,-69.601974,75.680397,56.230705,6.285319,75.280319,53.491806,4.333235,75.858551,-2.115262
13,0.108,0.000025,0.000002,0.000017,1,-32.597645,75.689003,26.74988,-71.412743,75.937866,-0.605178,-69.603951,75.676933,56.227707,6.285355,75.283157,53.49263,4.340851,75.858047,-2.11564,-71.407005,75.93737,-0.60761,-69.601425,75.677414,56.228638,6.284573,75.282669,53.493179,4.333075,75.858589,-2.114694
14,0.116,0.000024,0.000014,0.000023,1,-32.596882,75.688614,26.750002,-71.412659,75.936996,-0.60409,-69.60244,75.676102,56.228745,6.286794,75.283257,53.491783,4.340896,75.858101,-2.116436,-71.406792,75.936325,-0.608009,-69.59922,75.67675,56.231262,6.28514,75.282608,53.492229,4.33367,75.858795,-2.115622
15,0.125,0.000048,0.000017,-0.000011,1,-32.599834,75.690529,26.750492,-71.415733,75.942894,-0.603402,-69.605255,75.679146,56.229412,6.283936,75.281227,53.492062,4.337817,75.858864,-2.116111,-71.409561,75.94194,-0.597672,-69.606323,75.680016,56.22393,6.285023,75.280357,53.492767,4.331861,75.859772,-2.116637
16,0.133,0.000046,0.000039,-0.000019,1,-32.598377,75.690392,26.752407,-71.41552,75.943214,-0.599712,-69.602455,75.679756,56.233025,6.286609,75.280609,53.49221,4.337957,75.857979,-2.115884,-71.409264,75.942604,-0.596708,-69.601906,75.680313,56.230717,6.285093,75.280067,53.492195,4.333071,75.858543,-2.116413
17,0.141,0.000034,0.000014,0.000016,1,-32.597092,75.688705,26.749569,-71.412865,75.938171,-0.604528,-69.602669,75.676109,56.228302,6.286564,75.282272,53.491356,4.340696,75.858269,-2.11685,-71.406837,75.937035,-0.606678,-69.599312,75.6772,56.228848,6.285049,75.281143,53.491844,4.332494,75.859474,-2.115704
18,0.15,0.000036,0.00004,-0.000009,1,-32.597969,75.690956,26.751587,-71.415131,75.942406,-0.60052,-69.602028,75.68013,56.23222,6.287047,75.282539,53.491379,4.338342,75.858749,-2.116728,-71.408943,75.94178,-0.598541,-69.600464,75.680717,56.230701,6.284751,75.281982,53.490742,4.333375,75.859337,-2.116443
