Format Version,1.23,Take Name,Take 2024-01-27 03.14.05 PM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-01-27 03.14.06.035 下午,Capture Start Frame,125713,Total Frames in Take,449,Total Exported Frames,449,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071,Unlabeled 1072,Unlabeled 1072,Unlabeled 1072
,ID,1423224FEEEBCE111EE,1423224FEEEBCE111EE,1423224FEEEBCE111EE,1443224FEEEBCE111EE,1443224FEEEBCE111EE,1443224FEEEBCE111EE,1463224FEEEBCE111EE,1463224FEEEBCE111EE,1463224FEEEBCE111EE,1683224FEEEBCE111EE,1683224FEEEBCE111EE,1683224FEEEBCE111EE,16B3224FEEEBCE111EE,16B3224FEEEBCE111EE,16B3224FEEEBCE111EE,16C3224FEEEBCE111EE,16C3224FEEEBCE111EE,16C3224FEEEBCE111EE,16D3224FEEEBCE111EE,16D3224FEEEBCE111EE,16D3224FEEEBCE111EE,1703224FEEEBCE111EE,1703224FEEEBCE111EE,1703224FEEEBCE111EE,1733224FEEEBCE111EE,1733224FEEEBCE111EE,1733224FEEEBCE111EE,1743224FEEEBCE111EE,1743224FEEEBCE111EE,1743224FEEEBCE111EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-125.107315,134.365433,37.712307,-124.888977,131.13945,3.959914,-126.464615,135.333527,-31.738195,-131.220886,46.900616,4.247853,-125.675713,113.97551,-9.042193,-129.405777,72.637833,11.269602,-127.70697,92.75164,34.847271,-130.852417,51.512421,34.491459,-130.961884,53.712242,-30.483372,-129.268631,93.659195,-28.287849
1,0.008,-125.0495,134.313248,37.677879,-124.841599,131.104904,3.936696,-126.380585,135.312653,-31.748665,-131.218323,46.867748,4.213395,-125.651588,113.953606,-9.069512,-129.427094,72.606277,11.234155,-127.689041,92.725876,34.820999,-130.88446,51.471756,34.460342,-130.933563,53.697948,-30.515722,-129.234161,93.645409,-28.310446
2,0.016,-124.980339,134.284485,37.655785,-124.805389,131.077271,3.919615,-126.340744,135.28035,-31.767199,-131.213959,46.826885,4.164715,-125.608208,113.928345,-9.112236,-129.464462,72.562302,11.184939,-127.648209,92.698692,34.765438,-130.914215,51.431828,34.427063,-130.899948,53.6819,-30.546505,-129.201416,93.621407,-28.335051
3,0.025,-124.915825,134.248947,37.62426,-124.771248,131.032806,3.895144,-126.273796,135.239456,-31.782562,-131.204926,46.797184,4.123785,-125.569809,113.900398,-9.147559,-129.498077,72.509407,11.134142,-127.616142,92.653809,34.707981,-130.950027,51.388973,34.389339,-130.857758,53.65947,-30.588043,-129.162949,93.594139,-28.368372
4,0.033,-124.839363,134.225815,37.575562,-124.715294,130.99588,3.870841,-126.245789,135.206894,-31.815619,-131.194778,46.776459,4.086516,-125.542534,113.876114,-9.177585,-129.530777,72.468796,11.091193,-127.587509,92.621796,34.663944,-130.97084,51.352638,34.343903,-130.804321,53.651672,-30.619747,-129.1315,93.574883,-28.404066
5,0.041,-124.781036,134.169632,37.553429,-124.638603,130.947937,3.82469,-126.211311,135.191406,-31.841145,-131.183319,46.728161,4.027994,-125.492409,113.841545,-9.220639,-129.578094,72.425766,11.042396,-127.555832,92.584473,34.624744,-130.978348,51.3144,34.297813,-130.778107,53.637768,-30.65675,-129.119675,93.547127,-28.438669
6,0.05,-124.70697,134.117371,37.529881,-124.581123,130.907028,3.790105,-126.159073,135.180634,-31.871561,-131.1689,46.673538,3.955871,-125.451065,113.802185,-9.248623,-129.667725,72.369827,10.981902,-127.504158,92.549561,34.594284,-130.985229,51.26561,34.237934,-130.739502,53.63221,-30.694523,-129.087418,93.532349,-28.455881
7,0.058,-124.656769,134.074371,37.504841,-124.532471,130.882111,3.753024,-126.137672,135.155304,-31.916368,-131.153122,46.656914,3.911114,-125.413048,113.77343,-9.271316,-129.719299,72.329216,10.909965,-127.48587,92.492264,34.551762,-130.979462,51.238865,34.186089,-130.691971,53.608467,-30.746952,-129.048615,93.501534,-28.460598
8,0.066,-124.600624,134.039688,37.475586,-124.462257,130.859787,3.722425,-126.10762,135.135071,-31.955879,-131.120605,46.662331,3.852741,-125.363335,113.745247,-9.303115,-129.687622,72.311424,10.850604,-127.448914,92.43795,34.510593,-130.971451,51.212215,34.126781,-130.628036,53.577606,-30.837341,-129.022583,93.478966,-28.497433
9,0.075,-124.533783,134.001801,37.435062,-124.374924,130.838379,3.695907,-126.07061,135.120224,-31.988583,-131.086349,46.646736,3.767851,-125.309242,113.712624,-9.341802,-129.579407,72.319107,10.778815,-127.409172,92.400475,34.469395,-130.96608,51.180023,34.074669,-130.543976,53.536659,-30.925507,-128.980484,93.465843,-28.579464
10,0.083,-124.473106,133.970016,37.405701,-124.352837,130.803329,3.668375,-126.045761,135.104111,-32.013412,-131.071716,46.605194,3.692079,-125.272011,113.692116,-9.372052,-129.459259,72.314415,10.745586,-127.36496,92.387436,34.405907,-130.95015,51.170818,34.01516,-130.459167,53.499477,-30.981815,-128.927917,93.404999,-28.632046
11,0.091,-124.434433,133.943146,37.383648,-124.296608,130.795273,3.655296,-126.024796,135.087906,-32.031212,-131.054504,46.591686,3.649586,-125.233902,113.671318,-9.401222,-129.350616,72.289444,10.720873,-127.303223,92.369057,34.35405,-130.947266,51.14529,33.95232,-130.398117,53.460758,-31.037167,-128.870819,93.375031,-28.710327
