Format Version,1.23,Take Name,Take 2024-03-18 05.27.03 PM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-03-18 05.27.03.342 下午,Capture Start Frame,276967,Total Frames in Take,1201,Total Exported Frames,1201,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Table,Table,Table,Table,Table,Table,Table,Table:Marker1,Table:Marker1,Table:Marker1,Table:Marker2,Table:Marker2,Table:Marker2,Table:Marker3,Table:Marker3,Table:Marker3,Table:Marker4,Table:Marker4,Table:Marker4,Table:Marker1,Table:Marker1,Table:Marker1,Table:Marker2,Table:Marker2,Table:Marker2,Table:Marker3,Table:Marker3,Table:Marker3,Table:Marker4,Table:Marker4,Table:Marker4,Textured_BigCloth:Marker1,Textured_BigCloth:Marker1,Textured_BigCloth:Marker1,Textured_BigCloth:Marker10,Textured_BigCloth:Marker10,Textured_BigCloth:Marker10,Textured_BigCloth:Marker2,Textured_BigCloth:Marker2,Textured_BigCloth:Marker2,Textured_BigCloth:Marker3,Textured_BigCloth:Marker3,Textured_BigCloth:Marker3,Textured_BigCloth:Marker4,Textured_BigCloth:Marker4,Textured_BigCloth:Marker4,Textured_BigCloth:Marker5,Textured_BigCloth:Marker5,Textured_BigCloth:Marker5,Textured_BigCloth:Marker6,Textured_BigCloth:Marker6,Textured_BigCloth:Marker6,Textured_BigCloth:Marker7,Textured_BigCloth:Marker7,Textured_BigCloth:Marker7,Textured_BigCloth:Marker8,Textured_BigCloth:Marker8,Textured_BigCloth:Marker8,Textured_BigCloth:Marker9,Textured_BigCloth:Marker9,Textured_BigCloth:Marker9
,ID,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,64D0E1DBE50411EE1DBCEA1B09BCCFA4,AD7EC68EE50911EE1DBCEA1B09BCCFA4,AD7EC68EE50911EE1DBCEA1B09BCCFA4,AD7EC68EE50911EE1DBCEA1B09BCCFA4,AD7EC68FE50911EE1DBCEA1B09BCCFA4,AD7EC68FE50911EE1DBCEA1B09BCCFA4,AD7EC68FE50911EE1DBCEA1B09BCCFA4,AD7EC68CE50911EE1DBCEA1B09BCCFA4,AD7EC68CE50911EE1DBCEA1B09BCCFA4,AD7EC68CE50911EE1DBCEA1B09BCCFA4,AD7EC68DE50911EE1DBCEA1B09BCCFA4,AD7EC68DE50911EE1DBCEA1B09BCCFA4,AD7EC68DE50911EE1DBCEA1B09BCCFA4,5BB112421AAE50411EE,5BB112421AAE50411EE,5BB112421AAE50411EE,5C9112421AAE50411EE,5C9112421AAE50411EE,5C9112421AAE50411EE,5BC112421AAE50411EE,5BC112421AAE50411EE,5BC112421AAE50411EE,5BE112421AAE50411EE,5BE112421AAE50411EE,5BE112421AAE50411EE,5BF112421AAE50411EE,5BF112421AAE50411EE,5BF112421AAE50411EE,5C4112421AAE50411EE,5C4112421AAE50411EE,5C4112421AAE50411EE,5C5112421AAE50411EE,5C5112421AAE50411EE,5C5112421AAE50411EE,5C6112421AAE50411EE,5C6112421AAE50411EE,5C6112421AAE50411EE,5C7112421AAE50411EE,5C7112421AAE50411EE,5C7112421AAE50411EE,5C8112421AAE50411EE,5C8112421AAE50411EE,5C8112421AAE50411EE
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-0.000351,0.024245,-0.001037,0.999705,-28.253265,29.142921,40.689209,-55.236637,29.106829,80.579216,-58.590984,28.205925,3.067759,1.902261,30.045053,78.279678,-1.087707,29.213882,0.830185,-55.273975,29.103109,80.523521,-58.421928,28.213411,3.112011,1.95478,30.048725,78.320915,-1.328971,29.204449,0.799932,-55.407005,113.067841,72.279564,-60.264099,113.477448,7.173259,-55.736698,72.928009,73.104401,-59.739269,30.678797,8.332027,-58.018417,112.103859,39.66597,-59.832619,72.17627,7.804479,-60.346497,91.378975,30.161991,-57.166004,53.503452,52.489258,-57.543598,30.304993,40.869938,-61.71056,30.74576,73.090073
1,0.008,-0.000357,0.024241,-0.001019,0.999706,-28.251225,29.142984,40.691475,-55.234928,29.106319,80.581261,-58.588589,28.20443,3.069782,1.903957,30.046669,78.282188,-1.085335,29.21452,0.832671,-55.274307,29.102808,80.526985,-58.423691,28.211319,3.11215,1.955264,30.050003,78.321907,-1.330505,29.205374,0.798949,-55.412567,113.031006,72.271408,-60.2509,113.465393,7.176332,-55.730965,72.895531,73.105148,-59.678078,30.650574,8.301447,-58.016796,112.084854,39.672894,-59.785355,72.166695,7.794909,-60.319214,91.371231,30.157784,-57.117718,53.485966,52.475105,-57.496376,30.280823,40.854683,-61.663658,30.715128,73.075409
2,0.016,-0.000367,0.02422,-0.00104,0.999706,-28.247559,29.142258,40.692215,-55.232979,29.107586,80.580849,-58.583355,28.204187,3.069243,1.906052,30.045458,78.284203,-1.079956,29.211792,0.834572,-55.271835,29.105011,80.525505,-58.422756,28.209526,3.111778,1.956368,30.047909,78.323746,-1.329034,29.204378,0.800086,-55.41901,112.998619,72.279167,-60.244476,113.451019,7.179873,-55.702885,72.864311,73.096214,-59.604084,30.635798,8.27285,-58.015041,112.058189,39.670437,-59.733955,72.147194,7.787103,-60.303085,91.35675,30.157269,-57.083225,53.459393,52.468681,-57.451035,30.259121,40.839798,-61.614914,30.679893,73.068031
3,0.025,-0.000373,0.024212,-0.001023,0.999706,-28.245831,29.141539,40.693748,-55.231827,29.106384,80.581985,-58.581043,28.201973,3.070345,1.907194,30.04623,78.286171,-1.077643,29.211565,0.836504,-55.269463,29.10364,80.529144,-58.421124,28.207636,3.111447,1.95652,30.048874,78.325249,-1.329597,29.203541,0.800958,-55.419586,112.969589,72.284515,-60.221207,113.44191,7.191307,-55.689274,72.822342,73.092445,-59.522175,30.615091,8.229041,-58.012646,112.036682,39.670601,-59.682262,72.131866,7.777186,-60.280167,91.343651,30.152103,-57.043957,53.428967,52.461361,-57.415455,30.231342,40.830261,-61.550205,30.652847,73.057266
