Format Version,1.23,Take Name,Take 2024-01-20 08.57.42 AM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-01-20 08.57.42.879 上午,Capture Start Frame,186833,Total Frames in Take,395,Total Exported Frames,395,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1111,Unlabeled 1111,Unlabeled 1111,Unlabeled 1112,Unlabeled 1112,Unlabeled 1112,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114,Unlabeled 1115,Unlabeled 1115,Unlabeled 1115,Unlabeled 1116,Unlabeled 1116,Unlabeled 1116,Unlabeled 1117,Unlabeled 1117,Unlabeled 1117,Unlabeled 1118,Unlabeled 1118,Unlabeled 1118
,ID,D4E356BA9B1B72B11EE,D4E356BA9B1B72B11EE,D4E356BA9B1B72B11EE,D53356BA9B1B72B11EE,D53356BA9B1B72B11EE,D53356BA9B1B72B11EE,D55356BA9B1B72B11EE,D55356BA9B1B72B11EE,D55356BA9B1B72B11EE,D56356BA9B1B72B11EE,D56356BA9B1B72B11EE,D56356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D60356BA9B1B72B11EE,D60356BA9B1B72B11EE,D60356BA9B1B72B11EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-31.97912,102.852776,12.78349,-34.213551,122.990051,16.814108,-34.963093,122.677361,20.048416,-31.242796,123.366425,17.522448,-27.297035,102.614418,17.712027,-31.460783,122.322823,21.138422,-33.219044,102.332481,23.317137,-36.448444,102.627876,20.961285
1,0.008,-31.978167,102.854515,12.750713,-34.21336,122.986015,16.800426,-34.971844,122.668877,20.033897,-31.244246,123.361206,17.521494,-27.344292,102.597412,17.662865,-31.474192,122.310913,21.129225,-33.261341,102.322182,23.275667,-36.47644,102.621033,20.911602
2,0.016,-31.974941,102.856506,12.713258,-34.214699,122.981155,16.791239,-34.98642,122.66024,20.023039,-31.239733,123.343254,17.536814,-27.361137,102.58857,17.643885,-31.484112,122.304794,21.130383,-33.300415,102.310478,23.239214,-36.503452,102.617035,20.858032
3,0.025,-31.980408,102.861694,12.656008,-34.220531,122.97757,16.78163,-34.999687,122.654816,20.012362,-31.251986,123.348572,17.512804,-27.368563,102.586075,17.621185,-31.495413,122.30233,21.128447,-33.342922,102.301552,23.200665,-36.539257,102.617111,20.79101
4,0.033,-31.986141,102.855896,12.620525,-34.226112,122.973122,16.774637,-35.009689,122.650024,19.996849,-31.261747,123.34433,17.50345,-27.370876,102.587807,17.599089,-31.506056,122.300552,21.120584,-33.371738,102.297249,23.171926,-36.560326,102.615829,20.744411
5,0.041,-31.977676,102.836845,12.597858,-34.23814,122.973289,16.754923,-35.018276,122.647713,19.977005,-31.271997,123.343864,17.488697,-27.378992,102.587212,17.583704,-31.495554,122.308838,21.115143,-33.408226,102.297424,23.145176,-36.569305,102.610741,20.703295
