Format Version,1.23,Take Name,Take 2024-01-20 09.04.49 AM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-01-20 09.04.50.264 上午,Capture Start Frame,238119,Total Frames in Take,303,Total Exported Frames,303,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Plate,Plate,Plate,Plate,Plate,Plate,Plate,Plate:Marker1,Plate:Marker1,Plate:Marker1,Plate:Marker2,Plate:Marker2,Plate:Marker2,Plate:Marker3,Plate:Marker3,Plate:Marker3,Plate:Marker4,Plate:Marker4,Plate:Marker4,Plate:Marker1,Plate:Marker1,Plate:Marker1,Plate:Marker2,Plate:Marker2,Plate:Marker2,Plate:Marker3,Plate:Marker3,Plate:Marker3,Plate:Marker4,Plate:Marker4,Plate:Marker4,Unlabeled 1232,Unlabeled 1232,Unlabeled 1232,Unlabeled 1233,Unlabeled 1233,Unlabeled 1233,Unlabeled 1234,Unlabeled 1234,Unlabeled 1234,Unlabeled 1235,Unlabeled 1235,Unlabeled 1235,Unlabeled 1236,Unlabeled 1236,Unlabeled 1236,Unlabeled 1237,Unlabeled 1237,Unlabeled 1237,Unlabeled 1238,Unlabeled 1238,Unlabeled 1238,Unlabeled 1239,Unlabeled 1239,Unlabeled 1239
,ID,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,17378C92B72F11EE20BCEA1B09BCBDA4,E8D275E8B72F11EE20BCEA1B09BCBDA4,E8D275E8B72F11EE20BCEA1B09BCBDA4,E8D275E8B72F11EE20BCEA1B09BCBDA4,E8D275EAB72F11EE20BCEA1B09BCBDA4,E8D275EAB72F11EE20BCEA1B09BCBDA4,E8D275EAB72F11EE20BCEA1B09BCBDA4,E8D275E9B72F11EE20BCEA1B09BCBDA4,E8D275E9B72F11EE20BCEA1B09BCBDA4,E8D275E9B72F11EE20BCEA1B09BCBDA4,E8D275E7B72F11EE20BCEA1B09BCBDA4,E8D275E7B72F11EE20BCEA1B09BCBDA4,E8D275E7B72F11EE20BCEA1B09BCBDA4,EC8356BA9B1B72B11EE,EC8356BA9B1B72B11EE,EC8356BA9B1B72B11EE,ECA356BA9B1B72B11EE,ECA356BA9B1B72B11EE,ECA356BA9B1B72B11EE,ECB356BA9B1B72B11EE,ECB356BA9B1B72B11EE,ECB356BA9B1B72B11EE,ECC356BA9B1B72B11EE,ECC356BA9B1B72B11EE,ECC356BA9B1B72B11EE,ED0356BA9B1B72B11EE,ED0356BA9B1B72B11EE,ED0356BA9B1B72B11EE,ED1356BA9B1B72B11EE,ED1356BA9B1B72B11EE,ED1356BA9B1B72B11EE,ED3356BA9B1B72B11EE,ED3356BA9B1B72B11EE,ED3356BA9B1B72B11EE,ED4356BA9B1B72B11EE,ED4356BA9B1B72B11EE,ED4356BA9B1B72B11EE
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-0.144423,-0.434724,0.027406,0.888485,-54.781044,84.59066,26.14567,-64.694656,84.379616,19.667107,-44.849655,84.565002,32.580574,-61.291916,84.733597,36.096291,-48.28793,84.68441,16.23871,-64.70504,84.387207,19.688534,-44.849606,84.572647,32.591969,-61.303944,84.723083,36.085426,-48.251881,84.670731,16.192642,-17.812088,107.933487,22.835339,-20.923363,107.425644,22.144293,-20.014772,108.033905,26.986975,-22.231846,107.291725,25.554466,-26.522224,87.074234,25.888241,-15.145967,87.816177,20.728155,-23.583881,87.723099,30.375885,-9.924741,89.014664,23.960617
1,0.008,-0.144679,-0.434807,0.027333,0.888406,-54.779728,84.588425,26.147774,-64.69178,84.377945,19.666811,-44.849957,84.56218,32.585175,-61.293049,84.737549,36.096703,-48.2841,84.676018,16.242405,-64.705696,84.387817,19.688173,-44.849438,84.571823,32.591843,-61.303799,84.725403,36.086426,-48.247478,84.66037,16.210239,-17.775492,107.958076,22.843882,-20.891512,107.457367,22.152292,-19.959652,108.054138,27.011507,-22.193459,107.324432,25.580851,-26.513445,87.106583,25.885334,-15.149243,87.833282,20.730568,-23.588715,87.749191,30.373838,-9.925877,89.013382,23.955116
2,0.016,-0.144732,-0.434801,0.027338,0.888399,-54.780205,84.588097,26.148254,-64.692284,84.377335,19.667337,-44.850418,84.562126,32.585632,-61.293495,84.738472,36.097187,-48.284595,84.674438,16.242861,-64.705177,84.387733,19.688566,-44.850124,84.572289,32.591003,-61.304157,84.725166,36.0854,-48.249836,84.657845,16.214373,-17.693394,107.962654,22.895687,-20.855375,107.488564,22.165112,-19.912914,108.080414,27.034048,-22.154972,107.354271,25.596996,-26.517424,87.138428,25.875027,-15.151921,87.854294,20.71715,-23.593664,87.772682,30.364689,-9.954447,89.025299,23.943697
3,0.025,-0.144687,-0.434815,0.027348,0.888399,-54.780369,84.587631,26.148098,-64.692307,84.376732,19.666969,-44.850712,84.561798,32.585674,-61.293869,84.736908,36.096912,-48.284573,84.675064,16.242838,-64.70462,84.387161,19.68717,-44.850563,84.572044,32.591267,-61.304611,84.723755,36.087387,-48.249805,84.658173,16.212589,-17.645069,107.990669,22.934752,-20.814159,107.529045,22.17988,-19.873144,108.10984,27.053217,-22.116838,107.386314,25.611963,-26.53299,87.179626,25.853378,-15.159732,87.87645,20.70483,-23.603928,87.803802,30.347904,-9.973437,89.042572,23.931957
