Format Version,1.23,Take Name,Take 2024-01-27 03.08.40 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-01-27 03.08.41.218 下午,Capture Start Frame,86735,Total Frames in Take,40,Total Exported Frames,40,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Table Low,Table Low,Table Low,Table Low,Table Low,Table Low,Table Low,Table Low:Marker1,Table Low:Marker1,Table Low:Marker1,Table Low:Marker2,Table Low:Marker2,Table Low:Marker2,Table Low:Marker3,Table Low:Marker3,Table Low:Marker3,Table Low:Marker4,Table Low:Marker4,Table Low:Marker4,Table Low:Marker1,Table Low:Marker1,Table Low:Marker1,Table Low:Marker2,Table Low:Marker2,Table Low:Marker2,Table Low:Marker3,Table Low:Marker3,Table Low:Marker3,Table Low:Marker4,Table Low:Marker4,Table Low:Marker4
,ID,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,DDE3A718BCE211EE20BCEA1B09BCC3A4,"E48A956DBCE211EE20BCEA1B09BCC3A4","E48A956DBCE211EE20BCEA1B09BCC3A4","E48A956DBCE211EE20BCEA1B09BCC3A4","E48A956EBCE211EE20BCEA1B09BCC3A4","E48A956EBCE211EE20BCEA1B09BCC3A4","E48A956EBCE211EE20BCEA1B09BCC3A4","E48A956FBCE211EE20BCEA1B09BCC3A4","E48A956FBCE211EE20BCEA1B09BCC3A4","E48A956FBCE211EE20BCEA1B09BCC3A4","E48A9570BCE211EE20BCEA1B09BCC3A4","E48A9570BCE211EE20BCEA1B09BCC3A4","E48A9570BCE211EE20BCEA1B09BCC3A4"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000005,-0.000000,-0.000013,1.000000,-62.594872,61.410732,7.672467,-91.613258,60.860825,-30.623257,-33.952431,62.138145,-31.207308,-91.192909,61.041080,46.377445,-33.620789,61.602871,46.142986,-91.614044,60.859997,-30.623215,-33.952091,62.138973,-31.208750,-91.192848,61.041885,46.376820,-33.620377,61.602043,46.145031
1,0.008000,-0.000004,-0.000004,-0.000007,1.000000,-62.595005,61.410515,7.672176,-91.613098,60.859604,-30.623745,-33.952286,62.137650,-31.207403,-91.193314,61.041142,46.376949,-33.621208,61.603672,46.142902,-91.612991,60.859180,-30.623371,-33.951996,62.138100,-31.208199,-91.194092,61.041569,46.377117,-33.620823,61.603241,46.143150
2,0.016000,-0.000005,0.000003,-0.000003,1.000000,-62.594501,61.409317,7.672566,-91.613098,60.858162,-30.622980,-33.952297,62.136578,-31.207388,-91.192307,61.039818,46.377720,-33.620205,61.602711,46.142918,-91.612450,60.858257,-30.623028,-33.951847,62.136505,-31.209070,-91.191765,61.039734,46.379257,-33.621853,61.602772,46.143112
3,0.025000,-0.000000,-0.000000,0.000005,1.000000,-62.593887,61.411430,7.671539,-91.612267,60.860107,-30.624176,-33.951477,62.139530,-31.208246,-91.191902,61.041092,46.376526,-33.619804,61.604984,46.142052,-91.611847,60.859196,-30.622843,-33.951393,62.140442,-31.208546,-91.192673,61.042004,46.375854,-33.619545,61.604073,46.141693
4,0.033000,0.000014,0.000006,0.000009,1.000000,-62.594772,61.410366,7.671640,-91.613625,60.859852,-30.623728,-33.952858,62.139778,-31.208494,-91.192291,61.038727,46.376980,-33.620205,61.603111,46.141796,-91.613213,60.858727,-30.622873,-33.952148,62.140934,-31.209923,-91.193237,61.039860,46.377651,-33.620403,61.601974,46.141693
5,0.041000,0.000010,0.000005,0.000004,1.000000,-62.595253,61.410637,7.672487,-91.614044,60.860199,-30.622929,-33.953259,62.139450,-31.207592,-91.192856,61.039589,46.377773,-33.620758,61.603310,46.142696,-91.614151,60.859055,-30.623022,-33.952351,62.140621,-31.208876,-91.193214,61.040733,46.378941,-33.621201,61.602165,46.142906
