Format Version,1.23,Take Name,Take 2024-01-20 09.32.38 AM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-01-20 09.32.39.112 上午,Capture Start Frame,57735,Total Frames in Take,398,Total Exported Frames,398,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1242,Unlabeled 1242,Unlabeled 1242,Unlabeled 1243,Unlabeled 1243,Unlabeled 1243,Unlabeled 1244,Unlabeled 1244,Unlabeled 1244,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249,Unlabeled 1250,Unlabeled 1250,Unlabeled 1250,Unlabeled 1251,Unlabeled 1251,Unlabeled 1251
,ID,9F99E9165EB73211EE,9F99E9165EB73211EE,9F99E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-116.95256,100.154114,25.449923,-118.358902,65.766998,38.583092,-118.823982,34.558434,58.698219,-117.990242,35.895054,26.693356,-115.140892,135.467773,31.126699,-116.271469,86.067734,59.95702,-119.695557,91.15239,-2.118456,-114.672577,140.581924,63.90699,-116.910675,139.226578,-4.634996,-117.527534,38.985195,-5.905216
1,0.008,-116.963074,100.154877,25.442743,-118.387291,65.768829,38.576813,-118.906975,34.559906,58.683456,-118.060959,35.895775,26.682053,-115.134789,135.468735,31.129524,-116.300117,86.061913,59.951538,-119.725166,91.152885,-2.115364,-114.664856,140.576096,63.909592,-116.899834,139.230438,-4.63125,-117.635048,38.985737,-5.933504
2,0.016,-116.968979,100.151024,25.436258,-118.419159,65.779167,38.568062,-119.001892,34.53804,58.656281,-118.117126,35.898754,26.669083,-115.128792,135.468918,31.130569,-116.327606,86.052109,59.941422,-119.742027,91.154053,-2.120224,-114.659538,140.571136,63.912727,-116.88932,139.234085,-4.629189,-117.775391,38.993916,-5.970806
3,0.025,-116.971039,100.15123,25.431574,-118.456017,65.780022,38.56155,-119.123589,34.513901,58.638741,-118.176445,35.89563,26.656645,-115.121147,135.467957,31.133583,-116.352463,86.048111,59.937996,-119.76284,91.158981,-2.128745,-114.65316,140.566864,63.915939,-116.87677,139.237671,-4.630212,-117.926636,38.987045,-6.004965
4,0.033,-116.969994,100.150177,25.428816,-118.49778,65.777,38.558109,-119.215263,34.545551,58.618008,-118.233192,35.907047,26.647121,-115.111542,135.470398,31.134308,-116.370895,86.044731,59.937817,-119.806503,91.154755,-2.135588,-114.648773,140.560333,63.919998,-116.865089,139.241638,-4.622729,-118.03653,39.000843,-6.047754
5,0.041,-116.964592,100.151787,25.423626,-118.542015,65.774147,38.554462,-119.303223,34.546124,58.606339,-118.329178,35.903313,26.63846,-115.103424,135.473206,31.135321,-116.385826,86.042389,59.935848,-119.838646,91.15332,-2.135571,-114.643684,140.559036,63.923306,-116.841591,139.250793,-4.621324,-118.184105,38.985909,-6.08164
6,0.05,-116.961586,100.152519,25.421242,-118.573547,65.772377,38.548717,-119.401215,34.548023,58.592392,-118.410027,35.905979,26.624617,-115.082253,135.467224,31.127754,-116.405396,86.040619,59.936035,-119.871628,91.158936,-2.139162,-114.638649,140.555115,63.92728,-116.824844,139.258728,-4.62136,-118.33403,38.992233,-6.116277
7,0.058,-116.956314,100.154625,25.418123,-118.594574,65.776146,38.539001,-119.469917,34.542553,58.582203,-118.455086,35.910789,26.615339,-115.07267,135.466202,31.127468,-116.423546,86.036949,59.935158,-119.899582,91.161667,-2.14424,-114.63324,140.552292,63.927929,-116.817764,139.261765,-4.622233,-118.505882,38.999687,-6.150403
8,0.066,-116.953239,100.156273,25.417244,-118.614517,65.773621,38.531158,-119.54985,34.533321,58.573532,-118.501244,35.913639,26.609112,-115.054001,135.470779,31.12738,-116.447342,86.036308,59.934025,-119.942154,91.167679,-2.132247,-114.629387,140.542801,63.940315,-116.808487,139.268585,-4.61751,-118.627335,39.011192,-6.16907
9,0.075,-116.947845,100.15609,25.411228,-118.63662,65.779869,38.523899,-119.650986,34.527229,58.564186,-118.586899,35.926895,26.593935,-115.029289,135.479141,31.14185,-116.474792,86.035042,59.933102,-119.974121,91.175697,-2.13118,-114.623955,140.539993,63.948296,-116.800201,139.27652,-4.61143,-118.782104,39.017311,-6.188652
10,0.083,-116.941086,100.155952,25.406763,-118.65432,65.781273,38.5201,-119.717941,34.522511,58.55521,-118.673637,35.90744,26.587841,-115.021217,135.480804,31.154316,-116.496086,86.034943,59.926327,-119.989822,91.184723,-2.14167,-114.605545,140.54509,63.946228,-116.794411,139.286179,-4.605042,-118.921913,39.016296,-6.20978
11,0.091,-116.931725,100.159882,25.40716,-118.671989,65.783897,38.514023,-119.790161,34.52216,58.542747,-118.725708,35.9076,26.579046,-115.014229,135.485779,31.161461,-116.516968,86.035194,59.922153,-120.006645,91.19603,-2.154963,-114.601326,140.542206,63.952171,-116.788712,139.293427,-4.59616,-119.0411,39.022278,-6.228456
