Format Version,1.23,Take Name,Take 2023-10-19 07.21.48 PM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2023-10-19 07.21.48.862 下午,Capture Start Frame,2402842,Total Frames in Take,2769,Total Exported Frames,2769,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071
,ID,4FFCED923C6E4311EE,4FFCED923C6E4311EE,4FFCED923C6E4311EE,51ACED923C6E4311EE,51ACED923C6E4311EE,51ACED923C6E4311EE,51CCED923C6E4311EE,51CCED923C6E4311EE,51CCED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,52DCED923C6E4311EE,52DCED923C6E4311EE,52DCED923C6E4311EE,532CED923C6E4311EE,532CED923C6E4311EE,532CED923C6E4311EE,535CED923C6E4311EE,535CED923C6E4311EE,535CED923C6E4311EE,536CED923C6E4311EE,536CED923C6E4311EE,536CED923C6E4311EE,538CED923C6E4311EE,538CED923C6E4311EE,538CED923C6E4311EE,53ACED923C6E4311EE,53ACED923C6E4311EE,53ACED923C6E4311EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,47.481205,997.471558,109.841949,61.779594,1305.013428,115.937401,70.706306,1077.735962,95.978783,-104.231827,1179.21936,99.770355,213.263184,1166.783081,144.916855,-99.369041,1331.180786,97.377403,215.859177,1316.523315,138.272446,-109.737877,1021.119019,103.513885,32.062546,1210.29541,110.463676,197.779495,1006.295898,171.375961
1,0.008,47.649532,996.551575,108.199806,61.139103,1304.21875,116.213669,70.649834,1077.416504,94.533875,-104.225807,1178.257446,99.378197,213.298553,1166.240234,144.247238,-99.784058,1329.988525,97.820145,215.376221,1315.869141,138.35051,-109.558624,1020.216003,101.672997,31.673397,1209.540527,110.533531,197.699036,1005.64447,170.081635
2,0.016,48.010056,995.939941,106.59417,60.475574,1303.409912,116.242287,70.708809,1077.0448,93.504128,-104.29084,1177.290771,98.874695,212.962631,1165.820068,143.345718,-100.24086,1328.726807,97.897621,215.016571,1315.100464,138.490051,-109.313889,1019.3349,100.098984,31.221195,1208.780273,110.566925,197.671951,1004.869202,169.163071
3,0.025,48.168411,995.276367,104.700821,60.105152,1302.592529,116.364693,70.558739,1076.283813,92.620041,-104.471016,1176.357056,98.466217,212.716309,1165.387939,142.417999,-100.643532,1327.365723,97.923431,214.520111,1314.046143,138.625824,-109.182571,1018.330444,97.960052,30.76931,1207.936279,110.374947,197.6866,1003.947876,167.60994
4,0.033,47.96492,994.360779,103.156799,59.798893,1301.891602,116.500137,70.476509,1075.416748,91.663834,-104.894363,1175.408936,98.145699,212.587646,1164.624268,141.717545,-101.062508,1326.265503,97.963104,214.043182,1313.192261,138.736618,-109.037796,1017.645142,96.371613,30.519705,1207.332764,110.297775,197.592285,1003.117065,166.342377
5,0.041,47.852718,993.637817,101.932037,59.555714,1301.171265,116.835869,70.457947,1074.862061,90.61908,-105.079369,1174.57373,97.845444,212.603867,1163.715698,141.403229,-101.5914,1325.155762,97.767021,213.541885,1312.364502,138.905029,-109.070114,1016.741394,94.677544,30.247843,1206.631348,110.195335,197.485931,1002.226379,164.895523
6,0.05,47.724827,992.781921,100.418121,58.831688,1300.268066,117.48201,69.730515,1074.263062,89.542137,-105.223923,1173.527222,97.423241,212.452103,1162.640625,140.947128,-102.053246,1324.112183,97.490494,212.970657,1311.327026,139.110306,-109.035858,1015.913147,92.955803,29.887539,1205.697266,110.20517,197.342041,1001.114502,163.065414
7,0.058,47.543934,992.002808,99.001549,58.178764,1299.42981,117.979355,68.843445,1073.679077,89.288017,-105.537941,1172.654419,97.072929,212.08696,1161.635742,140.543655,-102.514008,1323.275513,96.975441,212.56424,1310.281128,139.415314,-109.250053,1015.232056,91.382034,29.453711,1204.933838,109.928551,197.270065,999.913208,161.549957
8,0.066,47.254539,991.324951,97.893402,57.735649,1298.484253,118.280647,68.280861,1073.071167,88.993584,-105.910477,1171.836426,96.70108,211.598602,1160.621216,140.249939,-103.088989,1322.403442,96.456673,212.127151,1309.252075,139.655472,-109.447495,1014.582397,90.190773,29.05831,1204.18335,109.696739,197.158371,998.927063,159.93898
9,0.075,46.724041,990.429321,96.837723,57.366596,1297.498535,118.657791,67.796219,1071.970825,88.41478,-106.328743,1170.9646,96.309669,210.866257,1159.569702,139.842346,-103.47477,1321.522583,95.78759,211.635849,1308.142944,139.942307,-109.755745,1013.604858,88.916489,28.604834,1203.41626,109.479332,196.927567,997.868225,157.928192
10,0.083,46.269867,989.424988,95.974251,56.960636,1296.690552,119.247871,67.333519,1071.157104,87.735527,-106.642654,1170.044678,95.948479,210.217651,1158.835327,139.407028,-103.993149,1321.014893,95.166748,211.061081,1307.109741,140.448181,-110.040398,1012.664429,87.913239,28.089628,1202.696899,109.375473,196.820343,996.619568,156.339676
11,0.091,45.797432,988.608032,95.25441,56.413898,1295.865234,119.618568,66.628708,1070.536133,87.447815,-107.193642,1169.006958,95.477364,209.523254,1157.967529,138.742493,-104.554703,1320.230469,93.937172,210.589142,1305.986206,140.933105,-110.519424,1012.095215,87.125687,27.63813,1201.732422,109.039391,196.673569,995.457336,154.603943
