Format Version,1.23,Take Name,Take 2023-11-03 01.40.02 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-11-03 01.40.02.729 下午,Capture Start Frame,86855,Total Frames in Take,927,Total Exported Frames,927,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009
,ID,"1A0BA3D90807A0911EE","1A0BA3D90807A0911EE","1A0BA3D90807A0911EE","1BCBA3D90807A0911EE","1BCBA3D90807A0911EE","1BCBA3D90807A0911EE","1C2BA3D90807A0911EE","1C2BA3D90807A0911EE","1C2BA3D90807A0911EE","1C3BA3D90807A0911EE","1C3BA3D90807A0911EE","1C3BA3D90807A0911EE","1C4BA3D90807A0911EE","1C4BA3D90807A0911EE","1C4BA3D90807A0911EE","1C5BA3D90807A0911EE","1C5BA3D90807A0911EE","1C5BA3D90807A0911EE","1C6BA3D90807A0911EE","1C6BA3D90807A0911EE","1C6BA3D90807A0911EE","1C7BA3D90807A0911EE","1C7BA3D90807A0911EE","1C7BA3D90807A0911EE","1C8BA3D90807A0911EE","1C8BA3D90807A0911EE","1C8BA3D90807A0911EE","1C9BA3D90807A0911EE","1C9BA3D90807A0911EE","1C9BA3D90807A0911EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-13.223128,90.015503,-7.228058,-13.762445,74.393295,-7.034595,1.599069,72.244255,-8.291970,-12.487905,106.374573,-6.573890,19.498344,103.752853,-4.719309,18.201582,72.799194,-7.671623,18.872005,88.300835,-5.581444,5.113527,83.085510,-7.456554,3.501832,103.818474,-5.851624,1.391344,95.960075,-6.192167
1,0.008000,-13.220734,89.995148,-7.237588,-13.769076,74.370758,-7.054040,1.603495,72.219238,-8.285089,-12.479989,106.339119,-6.528167,19.519787,103.704453,-4.658778,18.204647,72.764847,-7.577339,18.870842,88.265457,-5.514914,5.110561,83.062241,-7.426915,3.491598,103.815750,-5.842538,1.402803,95.934319,-6.166774
2,0.016000,-13.223058,89.964912,-7.236703,-13.774863,74.343788,-7.074936,1.605176,72.193199,-8.271212,-12.462716,106.299850,-6.460681,19.533333,103.657364,-4.608734,18.188774,72.729073,-7.474658,18.871811,88.224609,-5.442960,5.113698,83.031303,-7.384146,3.463866,103.829109,-5.854479,1.410197,95.906883,-6.142960
3,0.025000,-13.220519,89.939919,-7.231812,-13.778573,74.309067,-7.102554,1.619329,72.161514,-8.236812,-12.443360,106.254471,-6.394545,19.538572,103.618179,-4.558885,18.177032,72.694939,-7.352713,18.877817,88.181892,-5.365105,5.122189,83.000092,-7.343657,3.434589,103.851662,-5.873139,1.415895,95.877167,-6.118419
4,0.033000,-13.213350,89.918549,-7.221793,-13.776948,74.275497,-7.127656,1.635042,72.125931,-8.198655,-12.430241,106.227493,-6.351490,19.547943,103.580704,-4.518826,18.164276,72.652679,-7.212042,18.889023,88.144981,-5.296106,5.130650,82.968781,-7.304067,3.441837,103.820038,-5.844671,1.424529,95.844887,-6.089743
5,0.041000,-13.199596,89.895164,-7.204568,-13.775004,74.247894,-7.163028,1.644758,72.096542,-8.158451,-12.432079,106.213066,-6.323265,19.557255,103.545341,-4.482721,18.158110,72.626717,-7.110534,18.902763,88.096466,-5.228928,5.136699,82.935539,-7.266255,3.456115,103.785561,-5.805305,1.449399,95.800377,-6.038137
6,0.050000,-13.179268,89.869469,-7.181791,-13.772604,74.223282,-7.191095,1.650531,72.067245,-8.107194,-12.431462,106.195534,-6.297277,19.563210,103.511360,-4.448952,18.142908,72.576202,-6.979961,18.918633,88.036461,-5.150920,5.144728,82.888565,-7.201619,3.477195,103.718781,-5.727859,1.459731,95.737717,-5.990045
7,0.058000,-13.156099,89.846092,-7.155850,-13.770345,74.199425,-7.214886,1.640304,72.026726,-8.040935,-12.424794,106.171692,-6.264750,19.581150,103.461090,-4.413928,18.118952,72.540367,-6.821235,18.925806,87.993004,-5.080050,5.153252,82.853523,-7.153752,3.517371,103.659019,-5.639956,1.460420,95.705605,-5.944587
8,0.066000,-13.128922,89.822647,-7.126595,-13.767634,74.179245,-7.237914,1.627852,71.987679,-7.969309,-12.421118,106.144569,-6.219612,19.610653,103.398788,-4.351981,18.093071,72.519241,-6.699460,18.925764,87.953560,-5.009237,5.157102,82.820381,-7.105489,3.547998,103.601692,-5.564950,1.460413,95.672668,-5.897300
9,0.075000,-13.107029,89.796700,-7.090145,-13.763242,74.158844,-7.261827,1.624063,71.942398,-7.876824,-12.400164,106.103607,-6.171965,19.623365,103.346695,-4.299531,18.069897,72.484039,-6.538971,18.931252,87.909447,-4.917698,5.156348,82.781258,-7.048144,3.569327,103.555679,-5.502360,1.458832,95.649055,-5.832038
10,0.083000,-13.101222,89.772354,-7.048412,-13.753994,74.137184,-7.283685,1.629300,71.900185,-7.790969,-12.409121,106.051338,-6.120325,19.630241,103.312492,-4.256001,18.066399,72.431030,-6.367865,18.939512,87.872276,-4.842756,5.156522,82.748520,-6.987800,3.572286,103.531502,-5.466455,1.449874,95.629097,-5.791422
11,0.091000,-13.103917,89.735428,-6.986223,-13.738878,74.110481,-7.305430,1.640411,71.860817,-7.702377,-12.396715,106.009087,-6.046404,19.637064,103.277908,-4.218821,18.088490,72.345978,-6.196767,18.950668,87.828903,-4.762990,5.154270,82.717262,-6.918012,3.543755,103.528084,-5.457747,1.458815,95.595726,-5.745095
12,0.100000,-13.116323,89.697983,-6.909426,-13.717310,74.082634,-7.326189,1.648068,71.829262,-7.596045,-12.378076,105.959740,-5.984210,19.642500,103.251938,-4.173441,18.180637,72.150261,-5.922959,18.962074,87.781303,-4.672565,5.150165,82.679451,-6.842412,3.534472,103.517326,-5.444904,1.487906,95.559097,-5.670208
13,0.108000,-13.115361,89.661781,-6.839670,-13.698952,74.053825,-7.336888,1.648989,71.789772,-7.499938,-12.369118,105.929245,-5.947704,19.642134,103.227043,-4.139527,18.213579,72.084930,-5.745819,18.979376,87.742439,-4.587409,5.157134,82.635361,-6.751028,3.521934,103.491119,-5.427508,1.507808,95.530022,-5.620892
14,0.116000,-13.091019,89.625427,-6.769867,-13.680641,74.025108,-7.343421,1.660268,71.744202,-7.378786,-12.375533,105.889603,-5.924539,19.646267,103.197029,-4.101092,18.224733,72.050003,-5.574335,18.996412,87.695938,-4.498401,5.172531,82.589317,-6.665756,3.540529,103.466866,-5.374046,1.544114,95.501144,-5.548822
15,0.125000,-13.055762,89.589005,-6.710808,-13.666593,73.995552,-7.342330,1.674425,71.697388,-7.234308,-12.374284,105.850647,-5.886180,19.651628,103.162941,-4.059669,18.213364,72.008942,-5.358773,19.015348,87.655273,-4.409225,5.183279,82.548073,-6.574855,3.543002,103.412399,-5.313247,1.532146,95.442871,-5.465901
16,0.133000,-13.021356,89.554497,-6.654871,-13.647827,73.961258,-7.334915,1.676202,71.662994,-7.121779,-12.371432,105.815910,-5.856977,19.674623,103.122223,-4.004228,18.220480,71.965530,-5.175441,19.023811,87.625084,-4.332344,5.189545,82.513008,-6.487971,3.558595,103.349541,-5.247883,1.505586,95.419426,-5.386808
17,0.141000,-13.000817,89.517822,-6.593059,-13.627234,73.925354,-7.323430,1.687761,71.617851,-6.991539,-12.363094,105.777527,-5.818797,19.687151,103.088593,-3.963922,18.237158,71.931862,-5.005727,19.027273,87.592125,-4.254848,5.194540,82.472168,-6.388134,3.578669,103.285858,-5.178500,1.510165,95.378403,-5.304596
18,0.150000,-12.991635,89.460907,-6.509135,-13.604018,73.888824,-7.292953,1.713721,71.560966,-6.825110,-12.353368,105.720543,-5.755816,19.694605,103.056267,-3.925653,18.249350,71.868393,-4.785155,19.039198,87.555054,-4.159750,5.212008,82.413658,-6.265056,3.604162,103.218758,-5.108177,1.527032,95.330269,-5.233052
19,0.158000,-12.986201,89.414474,-6.436940,-13.573149,73.846016,-7.252449,1.728714,71.529236,-6.699240,-12.343676,105.669640,-5.710758,19.702868,103.029015,-3.892390,18.266708,71.818535,-4.605848,19.054014,87.518188,-4.063471,5.229575,82.377014,-6.167985,3.627295,103.163422,-5.052753,1.557456,95.294174,-5.154842
20,0.166000,-12.978461,89.376678,-6.365124,-13.528609,73.802254,-7.188684,1.739949,71.476135,-6.548462,-12.337027,105.618179,-5.661584,19.710447,103.005585,-3.863430,18.277998,71.774384,-4.396900,19.068645,87.472237,-3.961364,5.246493,82.343040,-6.068844,3.648778,103.116463,-5.004361,1.591167,95.248474,-5.102525
21,0.175000,-12.964919,89.338104,-6.303791,-13.483448,73.752991,-7.106521,1.759540,71.413719,-6.357785,-12.324145,105.566765,-5.615032,19.720497,102.977898,-3.831183,18.283419,71.736542,-4.197605,19.078371,87.435738,-3.864307,5.257236,82.277588,-5.913346,3.667644,103.069366,-4.959780,1.593295,95.186157,-5.035479
22,0.183000,-12.929397,89.290558,-6.240706,-13.465916,73.713425,-7.038788,1.764868,71.377632,-6.220176,-12.315467,105.528297,-5.587059,19.727634,102.951324,-3.805609,18.309843,71.689674,-4.024847,19.087723,87.406418,-3.775350,5.264397,82.231293,-5.797320,3.677527,103.032539,-4.926407,1.582151,95.154839,-4.955040
23,0.191000,-12.903131,89.240677,-6.178715,-13.443255,73.672279,-6.953299,1.789765,71.327675,-6.046477,-12.307697,105.499100,-5.565844,19.733055,102.928650,-3.783270,18.323355,71.648643,-3.843405,19.099695,87.370552,-3.674345,5.278066,82.197533,-5.679826,3.676818,103.003311,-4.902987,1.594517,95.111496,-4.874976
24,0.200000,-12.892010,89.199837,-6.110945,-13.417649,73.628983,-6.841596,1.800259,71.282043,-5.868063,-12.302871,105.470207,-5.550319,19.737349,102.893814,-3.750907,18.308535,71.631470,-3.669374,19.110607,87.319649,-3.563705,5.289030,82.161316,-5.538865,3.673283,102.949226,-4.840640,1.616383,95.059433,-4.803072
25,0.208000,-12.884606,89.168510,-6.037078,-13.401040,73.581490,-6.715703,1.798124,71.252472,-5.714039,-12.293524,105.444656,-5.533587,19.754042,102.847801,-3.712981,18.320412,71.586479,-3.506348,19.113960,87.290039,-3.474915,5.297427,82.108444,-5.399875,3.699246,102.893044,-4.788877,1.640930,95.019905,-4.752214
26,0.216000,-12.874605,89.135513,-5.976426,-13.394272,73.535583,-6.602511,1.805632,71.195053,-5.527636,-12.282694,105.420151,-5.517186,19.764805,102.814194,-3.685104,18.330238,71.546516,-3.321997,19.121347,87.260986,-3.383074,5.298575,82.057465,-5.270120,3.732865,102.832771,-4.733984,1.661579,94.989967,-4.708499
27,0.225000,-12.844367,89.084976,-5.914535,-13.382941,73.496101,-6.464885,1.812836,71.151627,-5.327481,-12.266396,105.384933,-5.492553,19.769838,102.787086,-3.662754,18.329485,71.530327,-3.152935,19.135048,87.228951,-3.271941,5.296735,82.016579,-5.131607,3.766211,102.775085,-4.683903,1.651572,94.929764,-4.646780
28,0.233000,-12.813361,89.048683,-5.847273,-13.366300,73.448044,-6.311349,1.812906,71.103981,-5.152071,-12.250142,105.352768,-5.472540,19.776894,102.761543,-3.643243,18.341410,71.490898,-2.987213,19.141197,87.182388,-3.160359,5.309285,81.964821,-4.973931,3.779422,102.744469,-4.660808,1.627532,94.901726,-4.568726
29,0.241000,-12.810360,89.009026,-5.781873,-13.371033,73.411537,-6.169571,1.809754,71.060059,-4.962914,-12.232609,105.321815,-5.451346,19.801382,102.719429,-3.609966,18.329117,71.459351,-2.834676,19.147490,87.153175,-3.058896,5.302907,81.928001,-4.841564,3.783490,102.725754,-4.645352,1.632621,94.862068,-4.495842
30,0.250000,-12.812950,88.972076,-5.708708,-13.379826,73.377136,-6.004368,1.804341,71.036774,-4.763746,-12.219494,105.293396,-5.430012,19.823935,102.683891,-3.583747,18.328915,71.424675,-2.673715,19.157742,87.124481,-2.958871,5.309538,81.904755,-4.700346,3.786022,102.708260,-4.632849,1.645919,94.825157,-4.435660
31,0.258000,-12.813067,88.947205,-5.640318,-13.371407,73.348389,-5.816649,1.811783,70.999161,-4.562749,-12.205963,105.271217,-5.410677,19.837637,102.663864,-3.568148,18.348698,71.392555,-2.533674,19.147787,87.100624,-2.871572,5.318872,81.863342,-4.544750,3.788381,102.692627,-4.624022,1.661235,94.801064,-4.387562
32,0.266000,-12.803611,88.922997,-5.568587,-13.380761,73.325531,-5.647902,1.803650,70.986328,-4.386181,-12.189758,105.247620,-5.392357,19.846664,102.647652,-3.552537,18.352821,71.372475,-2.408932,19.146374,87.076103,-2.783160,5.311285,81.835815,-4.416296,3.792099,102.679420,-4.614827,1.674798,94.783630,-4.345340
33,0.275000,-12.786772,88.896080,-5.494837,-13.400815,73.297050,-5.462551,1.796985,70.967232,-4.190827,-12.175609,105.227684,-5.375543,19.852753,102.628174,-3.537246,18.311695,71.371971,-2.245848,19.143744,87.046181,-2.683457,5.311228,81.820366,-4.284106,3.811777,102.663277,-4.597667,1.696338,94.763306,-4.295706
34,0.283000,-12.774284,88.886780,-5.405374,-13.393587,73.262283,-5.263517,1.801152,70.921196,-3.984463,-12.177624,105.199387,-5.355101,19.853071,102.606201,-3.520006,18.309866,71.366684,-2.105037,19.147100,87.030922,-2.601315,5.319649,81.795753,-4.159476,3.828392,102.637543,-4.578095,1.710681,94.740425,-4.259226
35,0.291000,-12.772272,88.863998,-5.329608,-13.397774,73.227875,-5.092034,1.798732,70.904564,-3.799851,-12.150996,105.181709,-5.331048,19.854746,102.590630,-3.503425,18.310667,71.343941,-1.974365,19.150169,87.017715,-2.530417,5.324470,81.766724,-4.029275,3.844790,102.614365,-4.551585,1.696450,94.699707,-4.206717
36,0.300000,-12.783387,88.833656,-5.227008,-13.402923,73.205948,-4.880746,1.806705,70.870575,-3.577023,-12.137040,105.162849,-5.311074,19.864161,102.577065,-3.484684,18.305387,71.326462,-1.822725,19.154154,87.000893,-2.450526,5.326983,81.740891,-3.903256,3.864081,102.586639,-4.526823,1.707162,94.658005,-4.124954
37,0.308000,-12.794619,88.805901,-5.137400,-13.403988,73.180649,-4.672321,1.800389,70.866928,-3.391252,-12.127503,105.149612,-5.298285,19.876381,102.564621,-3.470826,18.299902,71.309677,-1.703715,19.164865,86.985695,-2.379607,5.321968,81.731110,-3.799433,3.881261,102.566299,-4.503608,1.710633,94.643806,-4.070481
38,0.316000,-12.793946,88.788788,-5.055518,-13.418823,73.179161,-4.490475,1.796463,70.858940,-3.214917,-12.118038,105.137947,-5.270523,19.887234,102.554001,-3.459354,18.312922,71.286774,-1.577816,19.172764,86.972893,-2.310113,5.334407,81.716080,-3.693448,3.895483,102.546776,-4.480703,1.712179,94.631363,-4.026670
39,0.325000,-12.770549,88.763840,-4.952318,-13.412659,73.150139,-4.263806,1.797157,70.837448,-2.994019,-12.099654,105.116928,-5.246207,19.900265,102.540733,-3.445113,18.325619,71.274391,-1.458317,19.181017,86.943893,-2.227328,5.347832,81.674431,-3.557008,3.908742,102.526901,-4.458985,1.722328,94.614822,-3.978164
40,0.333000,-12.753280,88.742088,-4.861988,-13.406898,73.132675,-4.073582,1.799607,70.824593,-2.824366,-12.086066,105.099556,-5.226416,19.928370,102.519463,-3.411406,18.316063,71.262398,-1.325518,19.184853,86.929268,-2.171135,5.351212,81.661896,-3.448998,3.918704,102.513527,-4.441842,1.736677,94.600632,-3.944195
41,0.341000,-12.744623,88.721016,-4.773003,-13.396080,73.120064,-3.870780,1.814016,70.815933,-2.664190,-12.071227,105.085205,-5.210956,19.944437,102.505241,-3.394603,18.306955,71.268639,-1.205825,19.191860,86.917107,-2.127547,5.354903,81.650902,-3.362578,3.927761,102.501427,-4.429125,1.753089,94.586014,-3.911572
42,0.350000,-12.755409,88.691887,-4.662431,-13.393343,73.100212,-3.660014,1.819367,70.785751,-2.473313,-12.064013,105.074440,-5.198189,19.958391,102.494392,-3.379641,18.327953,71.272606,-1.077681,19.202160,86.901031,-2.082773,5.365812,81.638641,-3.267527,3.936044,102.490486,-4.416348,1.774158,94.568214,-3.873120
43,0.358000,-12.749094,88.677254,-4.558520,-13.390988,73.092690,-3.479795,1.812874,70.784363,-2.329803,-12.058075,105.068947,-5.195189,19.970148,102.482094,-3.363689,18.340305,71.262047,-0.975363,19.216301,86.884781,-2.035145,5.391226,81.608894,-3.160053,3.943037,102.484131,-4.409463,1.791961,94.554901,-3.839651
44,0.366000,-12.747253,88.656555,-4.461858,-13.390160,73.076012,-3.265671,1.815433,70.779671,-2.178792,-12.051026,105.062042,-5.190408,19.983038,102.466728,-3.346466,18.358242,71.247253,-0.862955,19.230433,86.869987,-1.992631,5.400928,81.589958,-3.068584,3.945030,102.475723,-4.405233,1.805191,94.542297,-3.809849
45,0.375000,-12.736898,88.641121,-4.361235,-13.391135,73.084984,-3.049179,1.822779,70.761147,-1.997180,-12.031404,105.038033,-5.173505,19.994732,102.449417,-3.329618,18.355509,71.221397,-0.739494,19.247387,86.855003,-1.944499,5.401350,81.570747,-2.980440,3.976320,102.421249,-4.355637,1.836256,94.515244,-3.752340
46,0.383000,-12.716243,88.634583,-4.255866,-13.390872,73.071129,-2.868150,1.806816,70.751678,-1.869719,-12.013027,105.017555,-5.151590,20.004480,102.433350,-3.313515,18.372566,71.200119,-0.632549,19.258516,86.840057,-1.907211,5.404149,81.547356,-2.905361,3.997761,102.387657,-4.321861,1.854449,94.499634,-3.717242
