Format Version,1.23,Take Name,Take 2023-11-14 02.00.39 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-11-14 02.00.39.453 下午,Capture Start Frame,159074,Total Frames in Take,1780,Total Exported Frames,1780,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,table,table,table,table,table,table,table,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4,Unlabeled 1259,Unlabeled 1259,Unlabeled 1259,Unlabeled 1260,Unlabeled 1260,Unlabeled 1260,Unlabeled 1261,Unlabeled 1261,Unlabeled 1261,Unlabeled 1262,Unlabeled 1262,Unlabeled 1262,Unlabeled 1263,Unlabeled 1263,Unlabeled 1263,table:Marker1,table:Marker1,table:Marker1,table:Marker2,table:Marker2,table:Marker2,table:Marker3,table:Marker3,table:Marker3,table:Marker4,table:Marker4,table:Marker4
,ID,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,F52B3F5482B211EE20BCEA1B09BC95A4,"40DE40DE15F82AF11EE","40DE40DE15F82AF11EE","40DE40DE15F82AF11EE","410E40DE15F82AF11EE","410E40DE15F82AF11EE","410E40DE15F82AF11EE","411E40DE15F82AF11EE","411E40DE15F82AF11EE","411E40DE15F82AF11EE","412E40DE15F82AF11EE","412E40DE15F82AF11EE","412E40DE15F82AF11EE","413E40DE15F82AF11EE","413E40DE15F82AF11EE","413E40DE15F82AF11EE","21D6A0C382B311EE20BCEA1B09BC95A4","21D6A0C382B311EE20BCEA1B09BC95A4","21D6A0C382B311EE20BCEA1B09BC95A4","21D6A0C482B311EE20BCEA1B09BC95A4","21D6A0C482B311EE20BCEA1B09BC95A4","21D6A0C482B311EE20BCEA1B09BC95A4","21D6A0C582B311EE20BCEA1B09BC95A4","21D6A0C582B311EE20BCEA1B09BC95A4","21D6A0C582B311EE20BCEA1B09BC95A4","21D6A0C682B311EE20BCEA1B09BC95A4","21D6A0C682B311EE20BCEA1B09BC95A4","21D6A0C682B311EE20BCEA1B09BC95A4"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000151,0.000061,0.000126,1.000000,-63.428352,77.541985,3.243299,-25.385887,77.246857,-24.513979,-101.391769,77.555809,-25.305355,-101.454185,77.708672,30.992121,-25.481573,77.656593,31.800312,-77.921539,77.702003,-13.625767,-47.126423,77.856735,-13.781060,-63.018459,78.248833,1.897400,-46.813351,77.840340,17.899170,-77.328239,77.952744,18.028080,-25.377884,77.248390,-24.524597,-101.390884,77.554398,-25.303768,-101.461899,77.710228,30.996582,-25.482250,77.655205,31.803825
1,0.008000,-0.000148,0.000060,0.000135,1.000000,-63.427414,77.541893,3.243042,-25.384886,77.247658,-24.514166,-101.390770,77.555122,-25.305685,-101.453308,77.707695,30.991789,-25.480688,77.657104,31.800127,-77.921120,77.699867,-13.624969,-47.127281,77.854355,-13.780180,-63.026779,78.246056,1.894579,-46.808636,77.843819,17.895277,-77.325287,77.953362,18.025974,-25.372478,77.248848,-24.526028,-101.392365,77.554062,-25.304255,-101.461304,77.708900,30.997070,-25.481951,77.656052,31.803656
2,0.016000,-0.000155,0.000055,0.000132,1.000000,-63.427238,77.542107,3.242656,-25.384403,77.247253,-24.514124,-101.390282,77.555176,-25.306494,-101.453445,77.708527,30.990971,-25.480837,77.657478,31.800163,-77.922424,77.701691,-13.626737,-47.128113,77.854713,-13.781409,-63.033325,78.245781,1.892209,-46.805035,77.842781,17.893009,-77.320709,77.951660,18.024076,-25.371248,77.248344,-24.526253,-101.391457,77.554199,-25.304708,-101.462242,77.709648,30.996693,-25.482380,77.656509,31.803135
3,0.025000,-0.000162,0.000065,0.000131,1.000000,-63.428932,77.542625,3.241343,-25.386671,77.247307,-24.516222,-101.392555,77.555397,-25.307020,-101.454559,77.709511,30.990442,-25.481939,77.658295,31.798065,-77.921181,77.700409,-13.627180,-47.126305,77.854332,-13.781804,-63.038803,78.244469,1.889452,-46.800556,77.840660,17.891630,-77.307167,77.956322,18.012596,-25.378727,77.247177,-24.526079,-101.392685,77.555428,-25.306597,-101.460609,77.709511,30.995296,-25.483078,77.658356,31.801739
4,0.033000,-0.000288,0.000099,0.000188,1.000000,-63.428162,77.545837,3.235390,-25.387754,77.247864,-24.524693,-101.393745,77.547134,-25.310385,-101.451920,77.715378,30.987051,-25.479231,77.672989,31.789497,-77.920609,77.698586,-13.627648,-47.126434,77.854515,-13.782575,-63.044842,78.240860,1.881239,-46.798496,77.841652,17.889959,-77.301857,77.959007,18.008713,-25.376228,77.242577,-24.529331,-101.391045,77.552536,-25.307428,-101.461639,77.709724,30.995232,-25.484339,77.678116,31.783783
5,0.041000,-0.000203,0.000063,0.000146,1.000000,-63.425491,77.542290,3.240080,-25.383129,77.245781,-24.517332,-101.389023,77.551582,-25.308414,-101.451218,77.710365,30.989044,-25.478598,77.661430,31.796921,-77.921425,77.697746,-13.627060,-47.126312,77.853851,-13.782186,-63.048298,78.239113,1.878679,-46.795017,77.841438,17.888113,-77.298615,77.959671,18.008278,-25.370449,77.245308,-24.528387,-101.391151,77.551994,-25.307178,-101.460587,77.709999,30.994488,-25.478512,77.661827,31.800032
