Format Version,1.23,Take Name,Take 2023-11-03 01.40.53 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-11-03 01.40.53.496 下午,Capture Start Frame,92947,Total Frames in Take,1014,Total Exported Frames,1014,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029
,ID,"1E8BA3D90807A0911EE","1E8BA3D90807A0911EE","1E8BA3D90807A0911EE","1EDBA3D90807A0911EE","1EDBA3D90807A0911EE","1EDBA3D90807A0911EE","1F6BA3D90807A0911EE","1F6BA3D90807A0911EE","1F6BA3D90807A0911EE","1F8BA3D90807A0911EE","1F8BA3D90807A0911EE","1F8BA3D90807A0911EE","1F9BA3D90807A0911EE","1F9BA3D90807A0911EE","1F9BA3D90807A0911EE","1FABA3D90807A0911EE","1FABA3D90807A0911EE","1FABA3D90807A0911EE","1FBBA3D90807A0911EE","1FBBA3D90807A0911EE","1FBBA3D90807A0911EE","1FCBA3D90807A0911EE","1FCBA3D90807A0911EE","1FCBA3D90807A0911EE","1FDBA3D90807A0911EE","1FDBA3D90807A0911EE","1FDBA3D90807A0911EE","1FEBA3D90807A0911EE","1FEBA3D90807A0911EE","1FEBA3D90807A0911EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,20.539158,102.971306,-10.302614,18.933056,87.422729,-8.491999,21.969873,118.733505,-11.840273,-10.656186,122.085533,-12.588319,5.453807,119.115997,-12.386163,2.312603,87.442490,-10.377175,3.150221,111.273285,-11.925123,6.182263,98.094688,-11.623884,-12.826104,90.015015,-9.421096,-11.589734,105.591454,-11.447103
1,0.008000,20.536322,102.966431,-10.337167,18.928808,87.414604,-8.541952,21.964890,118.721413,-11.852890,-10.656940,122.081825,-12.596925,5.451610,119.101288,-12.393817,2.307145,87.430801,-10.410669,3.147059,111.269226,-11.943653,6.174461,98.077866,-11.667961,-12.827086,90.013870,-9.461635,-11.587173,105.581535,-11.458476
2,0.016000,20.537731,102.957108,-10.374729,18.928291,87.404213,-8.582515,21.958866,118.713341,-11.864133,-10.659667,122.074738,-12.605961,5.449559,119.091881,-12.402256,2.301360,87.422630,-10.437681,3.143144,111.261749,-11.964762,6.170739,98.059273,-11.719164,-12.827489,90.007088,-9.508333,-11.585422,105.575813,-11.467700
3,0.025000,20.543865,102.939461,-10.414000,18.935539,87.393394,-8.645477,21.955603,118.704292,-11.877565,-10.660192,122.067169,-12.615880,5.450520,119.082794,-12.412223,2.300737,87.410576,-10.478243,3.143134,111.255501,-11.987712,6.165568,98.051155,-11.780277,-12.834805,89.998932,-9.569565,-11.581920,105.568169,-11.479560
4,0.033000,20.549158,102.923843,-10.455599,18.954231,87.379265,-8.710609,21.955158,118.696854,-11.894490,-10.658501,122.057236,-12.623487,5.453358,119.078278,-12.424987,2.311607,87.405220,-10.506819,3.146352,111.251068,-12.011127,6.165532,98.046097,-11.836771,-12.830665,89.986488,-9.610050,-11.577457,105.562172,-11.497812
5,0.041000,20.553022,102.913872,-10.497376,18.963102,87.372955,-8.792436,21.958115,118.689438,-11.914664,-10.655672,122.047684,-12.628571,5.457470,119.075439,-12.442080,2.318409,87.396065,-10.533849,3.131392,111.269089,-12.067477,6.164804,98.039474,-11.895713,-12.818670,89.968994,-9.654513,-11.569398,105.549538,-11.525943
6,0.050000,20.558834,102.902451,-10.544429,18.973900,87.369080,-8.873807,21.964153,118.680336,-11.936189,-10.655622,122.033142,-12.635045,5.463015,119.067513,-12.458642,2.326784,87.387642,-10.565187,3.133394,111.267426,-12.099544,6.166209,98.031883,-11.962840,-12.803266,89.952209,-9.711458,-11.554545,105.542419,-11.558500
7,0.058000,20.567438,102.894318,-10.587092,18.982765,87.355873,-8.936002,21.969025,118.673668,-11.953880,-10.654869,122.020149,-12.637443,5.466665,119.060776,-12.472758,2.338548,87.375153,-10.595639,3.138767,111.258743,-12.121071,6.170936,98.018181,-12.022103,-12.776333,89.935852,-9.784433,-11.547486,105.525169,-11.593290
8,0.066000,20.575975,102.887108,-10.622731,18.984634,87.327736,-9.001079,21.973173,118.663704,-11.968797,-10.652436,122.007835,-12.642423,5.470466,119.050194,-12.487624,2.345367,87.361229,-10.640978,3.141856,111.248192,-12.149639,6.188139,98.005455,-12.098362,-12.761047,89.913406,-9.843937,-11.538913,105.515205,-11.627930
9,0.075000,20.582834,102.875603,-10.664532,18.978245,87.304283,-9.081779,21.976032,118.652618,-11.986570,-10.651754,121.995941,-12.651455,5.476501,119.031509,-12.510755,2.354621,87.346786,-10.698125,3.146678,111.232903,-12.175658,6.201330,97.995399,-12.171231,-12.748782,89.898209,-9.902261,-11.529593,105.503906,-11.668876
10,0.083000,20.593487,102.859207,-10.708021,19.003212,87.286278,-9.144477,21.982311,118.641647,-11.999608,-10.652082,121.983299,-12.659088,5.496306,118.988823,-12.536603,2.370615,87.333748,-10.741283,3.149100,111.202454,-12.210917,6.193984,97.980080,-12.246644,-12.743675,89.883064,-9.972305,-11.515307,105.489525,-11.708570
11,0.091000,20.606937,102.846130,-10.755475,19.017908,87.270569,-9.205087,21.989746,118.627319,-12.017565,-10.650011,121.972252,-12.665902,5.510970,118.970314,-12.555441,2.377259,87.320030,-10.788421,3.155306,111.181976,-12.229941,6.196953,97.973274,-12.318323,-12.739626,89.869270,-10.052368,-11.505494,105.480019,-11.745073
12,0.100000,20.615889,102.834991,-10.793002,19.034042,87.266068,-9.302761,21.993467,118.594444,-12.052313,-10.653446,121.946861,-12.685307,5.519829,118.960632,-12.573831,2.381826,87.305923,-10.845737,3.168106,111.158249,-12.269624,6.193312,97.974152,-12.401881,-12.733570,89.857529,-10.143669,-11.499913,105.469833,-11.783434
13,0.108000,20.618668,102.824112,-10.826049,19.036045,87.257919,-9.372420,22.010731,118.568123,-12.062194,-10.647255,121.930107,-12.687820,5.526057,118.953880,-12.586132,2.379110,87.297211,-10.913148,3.187870,111.146126,-12.302425,6.209294,97.950867,-12.460271,-12.718423,89.846489,-10.235889,-11.496363,105.456116,-11.823291
14,0.116000,20.624331,102.814400,-10.865285,19.050045,87.230591,-9.426445,21.998709,118.570122,-12.096743,-10.640182,121.913994,-12.690188,5.532621,118.956650,-12.594792,2.381781,87.285759,-10.987205,3.206873,111.135735,-12.332321,6.213094,97.931320,-12.520066,-12.694554,89.835526,-10.322832,-11.491604,105.450569,-11.856987
15,0.125000,20.629940,102.796539,-10.915371,19.055494,87.199623,-9.493141,21.978189,118.573128,-12.143389,-10.632444,121.899071,-12.693654,5.539595,118.955338,-12.610218,2.380868,87.271584,-11.076993,3.219149,111.125969,-12.362562,6.216418,97.918289,-12.590737,-12.686393,89.813675,-10.414721,-11.486439,105.447235,-11.896593
16,0.133000,20.629028,102.766182,-10.958120,19.034201,87.179489,-9.561592,21.977966,118.565163,-12.159666,-10.626417,121.889328,-12.700586,5.551468,118.948921,-12.618210,2.383351,87.270050,-11.143167,3.224659,111.118660,-12.384792,6.219371,97.912109,-12.645367,-12.686136,89.797768,-10.513071,-11.477536,105.437958,-11.939857
17,0.141000,20.631023,102.744965,-11.003448,19.030998,87.164948,-9.631502,21.978607,118.553925,-12.172554,-10.623000,121.880104,-12.708974,5.552587,118.923096,-12.626091,2.375556,87.256332,-11.214767,3.227125,111.110962,-12.411742,6.224647,97.901360,-12.693649,-12.690306,89.794754,-10.610909,-11.474119,105.428741,-11.976346
18,0.150000,20.629547,102.733757,-11.061285,19.031681,87.139984,-9.698230,21.976603,118.544769,-12.188573,-10.620046,121.871063,-12.723955,5.552914,118.904625,-12.629065,2.369651,87.244019,-11.301445,3.228750,111.099693,-12.447955,6.212289,97.897720,-12.766491,-12.702805,89.778557,-10.730575,-11.474849,105.419708,-12.017712
19,0.158000,20.627834,102.723145,-11.113029,19.035894,87.130615,-9.774007,21.976439,118.535736,-12.199951,-10.617022,121.865250,-12.735634,5.549011,118.894279,-12.633331,2.364786,87.232178,-11.379113,3.231062,111.096725,-12.483723,6.207531,97.881355,-12.827161,-12.701891,89.774178,-10.825951,-11.475212,105.411720,-12.060681
20,0.166000,20.626808,102.707077,-11.161544,19.029852,87.119568,-9.859356,21.975559,118.525040,-12.211334,-10.616058,121.857109,-12.750017,5.547446,118.883690,-12.638703,2.357538,87.222397,-11.476096,3.236441,111.093346,-12.521275,6.211185,97.868393,-12.870333,-12.697281,89.763618,-10.912845,-11.465490,105.400230,-12.112714
21,0.175000,20.630356,102.687195,-11.208979,19.032393,87.104332,-9.925005,21.977610,118.511162,-12.219329,-10.618091,121.852493,-12.773533,5.549377,118.869522,-12.655209,2.364891,87.205971,-11.587912,3.242181,111.088707,-12.558444,6.208699,97.856918,-12.928471,-12.702524,89.745453,-11.016667,-11.468305,105.381752,-12.160738
22,0.183000,20.636337,102.673897,-11.255323,19.037556,87.083992,-9.979938,21.985159,118.499634,-12.238318,-10.614842,121.844803,-12.805933,5.554910,118.859146,-12.669228,2.374666,87.196609,-11.679256,3.217067,111.102760,-12.618065,6.211370,97.848671,-12.973905,-12.707111,89.735687,-11.119009,-11.468820,105.374847,-12.199821
23,0.191000,20.637060,102.663445,-11.300410,19.044373,87.060349,-10.037769,21.994621,118.489052,-12.254175,-10.609314,121.827713,-12.835940,5.547945,118.845543,-12.688284,2.382060,87.173615,-11.774981,3.209459,111.093544,-12.649618,6.214568,97.835213,-13.023210,-12.701425,89.719048,-11.230068,-11.465380,105.369339,-12.241751
24,0.200000,20.640482,102.652100,-11.342105,19.035894,87.025261,-10.113100,22.003231,118.474564,-12.265653,-10.616188,121.804832,-12.864513,5.540942,118.831123,-12.704330,2.397772,87.158760,-11.884014,3.209335,111.078964,-12.678549,6.228716,97.809158,-13.078256,-12.685072,89.697861,-11.342439,-11.463658,105.356155,-12.288012
25,0.208000,20.641108,102.641251,-11.379642,19.041193,87.008797,-10.184455,21.995045,118.453255,-12.274429,-10.610872,121.787628,-12.880489,5.536688,118.817902,-12.717427,2.405303,87.157188,-11.982480,3.206650,111.064003,-12.704028,6.240305,97.798332,-13.137449,-12.674912,89.683899,-11.422251,-11.457134,105.342422,-12.332199
