Format Version,1.23,Take Name,Take 2023-11-03 01.41.26 PM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2023-11-03 01.41.26.454 下午,Capture Start Frame,96902,Total Frames in Take,1383,Total Exported Frames,1383,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036,Unlabeled 1037,Unlabeled 1037,Unlabeled 1037,Unlabeled 1038,Unlabeled 1038,Unlabeled 1038,Unlabeled 1039,Unlabeled 1039,Unlabeled 1039
,ID,209BA3D90807A0911EE,209BA3D90807A0911EE,209BA3D90807A0911EE,20BBA3D90807A0911EE,20BBA3D90807A0911EE,20BBA3D90807A0911EE,20DBA3D90807A0911EE,20DBA3D90807A0911EE,20DBA3D90807A0911EE,210BA3D90807A0911EE,210BA3D90807A0911EE,210BA3D90807A0911EE,214BA3D90807A0911EE,214BA3D90807A0911EE,214BA3D90807A0911EE,215BA3D90807A0911EE,215BA3D90807A0911EE,215BA3D90807A0911EE,216BA3D90807A0911EE,216BA3D90807A0911EE,216BA3D90807A0911EE,217BA3D90807A0911EE,217BA3D90807A0911EE,217BA3D90807A0911EE,218BA3D90807A0911EE,218BA3D90807A0911EE,218BA3D90807A0911EE,219BA3D90807A0911EE,219BA3D90807A0911EE,219BA3D90807A0911EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-15.445046,119.432068,-9.415946,-1.419358,108.542694,-8.766203,2.023703,95.57444,-9.347111,14.708498,85.250336,-6.876396,0.638252,116.373383,-9.148284,16.97801,116.635605,-8.562185,16.057711,100.804543,-7.493998,-1.808233,84.824234,-7.88611,-16.028223,102.807091,-8.699942,-16.950018,87.26622,-7.850909
1,0.008,-15.455251,119.432854,-9.413836,-1.433642,108.540497,-8.771965,2.002208,95.567413,-9.347879,14.698044,85.23645,-6.928006,0.619286,116.364861,-9.146323,16.970121,116.625145,-8.557161,16.039778,100.793243,-7.509642,-1.831757,84.821739,-7.874527,-16.048441,102.804199,-8.658108,-16.983576,87.262169,-7.729798
2,0.016,-15.465619,119.431946,-9.410919,-1.4515,108.533684,-8.776229,1.980733,95.558052,-9.355318,14.675776,85.217651,-6.974395,0.60164,116.357887,-9.139483,16.963154,116.615997,-8.553319,16.010784,100.77504,-7.523857,-1.857497,84.81546,-7.85938,-16.073792,102.805618,-8.613634,-17.01652,87.26783,-7.617924
3,0.025,-15.475119,119.429825,-9.404983,-1.470674,108.524574,-8.782168,1.958774,95.542923,-9.362611,14.651179,85.197952,-7.022426,0.58737,116.349731,-9.130286,16.946693,116.602432,-8.55059,15.984175,100.755501,-7.541852,-1.890614,84.804665,-7.844253,-16.10251,102.804359,-8.565925,-17.047766,87.281952,-7.494334
4,0.033,-15.503844,119.430473,-9.40573,-1.484652,108.513191,-8.78872,1.931952,95.527939,-9.366775,14.630112,85.179939,-7.058429,0.580309,116.344307,-9.120356,16.928589,116.591576,-8.551035,15.966612,100.737251,-7.557867,-1.920429,84.795677,-7.832588,-16.121363,102.801743,-8.524485,-17.081425,87.281212,-7.373193
5,0.041,-15.512989,119.426727,-9.405253,-1.534345,108.518913,-8.817017,1.906491,95.511742,-9.367615,14.603716,85.151024,-7.097974,0.571606,116.334877,-9.110837,16.897974,116.566025,-8.54194,15.945692,100.714203,-7.585387,-1.95465,84.781227,-7.820843,-16.139347,102.797211,-8.48597,-17.103523,87.276634,-7.25986
6,0.05,-15.521124,119.421532,-9.398054,-1.562375,108.514275,-8.826784,1.871835,95.486343,-9.373584,14.575184,85.110893,-7.159374,0.559511,116.323509,-9.098439,16.872784,116.546371,-8.530392,15.924636,100.684914,-7.611015,-1.993479,84.764694,-7.807472,-16.151651,102.787003,-8.438965,-17.134029,87.266167,-7.149332
7,0.058,-15.527617,119.414772,-9.389175,-1.57447,108.500229,-8.831503,1.840115,95.469055,-9.380158,14.542733,85.084518,-7.190365,0.550324,116.308388,-9.086782,16.858309,116.535378,-8.531305,15.902719,100.656464,-7.639057,-2.026644,84.752029,-7.799725,-16.179905,102.772118,-8.400625,-17.161045,87.261086,-7.059139
8,0.066,-15.535529,119.405273,-9.378299,-1.585219,108.482918,-8.839418,1.809113,95.452621,-9.389317,14.518306,85.06134,-7.21374,0.542953,116.294098,-9.076427,16.844898,116.526627,-8.535946,15.883809,100.628281,-7.662817,-2.057719,84.738701,-7.793673,-16.208725,102.762245,-8.360439,-17.193817,87.256119,-6.984538
9,0.075,-15.544033,119.397148,-9.369736,-1.597035,108.466896,-8.84073,1.783269,95.434555,-9.399139,14.488311,85.033653,-7.239991,0.536384,116.28022,-9.065836,16.831594,116.504272,-8.547357,15.861071,100.602898,-7.691807,-2.095922,84.719536,-7.787789,-16.23716,102.75029,-8.317282,-17.22731,87.254448,-6.899242
10,0.083,-15.553207,119.38269,-9.360519,-1.609027,108.453918,-8.839067,1.755064,95.42881,-9.416625,14.463982,85.015121,-7.264762,0.529233,116.265831,-9.060659,16.806911,116.475639,-8.519461,15.840465,100.58271,-7.715579,-2.122988,84.706055,-7.781291,-16.257425,102.739571,-8.279128,-17.2575,87.249878,-6.830401
11,0.091,-15.56135,119.370201,-9.350649,-1.630125,108.440613,-8.835893,1.736938,95.419571,-9.430985,14.44021,84.999565,-7.284885,0.524157,116.254791,-9.056214,16.787182,116.450905,-8.505841,15.81839,100.566933,-7.74702,-2.143016,84.688927,-7.780837,-16.275469,102.728081,-8.24742,-17.271324,87.245323,-6.757329
